gene,fold change,p value
IDS,-0.7,0.008153707
PRSS3,-1.4,0.001084865
ZNF200,-0.2,0.353325283
CD4,1.1,0.012179919
LRRC23,-0.1,0.856611933
BTK,1.6,0.003943939
HFE,1.1,0.006788409
SCMH1,-0.1,0.777288319
FYN,0.6,3.81E-08
HIVEP2,-1.2,1.92E-07
FMO1,0.9,0.165520029
ELOA,0.4,0.006030163
LYPLA2,-0.3,0.46388254
CLCN6,-0.4,0.001414171
MRC2,0.6,0.02021415
SLC6A7,-1.8,6.09E-17
TSPAN9,-0.8,4.06E-04
BTBD7,0.6,0.037354875
APBA3,0.4,0.132049857
MKS1,0.4,0.042101705
ABHD5,1,0.001698564
ANOS1,0.9,0.01052871
AKAP8L,-0.1,0.783598092
MBTD1,0.8,0.037496718
UTP18,-0.2,0.200930787
RNF216,0.2,0.231743335
TTC19,-0.7,2.68E-04
PTBP1,1,1.06E-07
DPF1,-1,0.002516992
SYT7,-1.2,0.002175905
LARS2,0.3,0.088405292
PIK3C2A,1.1,0.03306724
PLAUR,1.3,6.78E-07
ANLN,1.9,9.22E-07
WIZ,0.3,0.26395345
RABGAP1,0.1,0.529248537
DCN,0.7,0.049961722
QPCTL,-0.6,0.001468733
PPP5C,-0.8,0.049220684
CEP68,-0.5,1.67E-07
MAP4K3,-0.1,0.833382088
ZBTB32,0.3,0.595951891
TYROBP,1.3,0.022125502
TMEM159,-0.2,0.785755537
GABRA3,-0.9,0.018431339
BRCA1,1.5,6.60E-08
ERCC1,-0.1,0.462356495
CD22,1.6,2.92E-09
SEMA3B,0.6,0.039483601
MBTPS2,-0.4,0.231692055
PRICKLE3,1,0.018328338
LTF,1.4,0.001224167
EXTL3,-0.5,0.049336277
ELOVL5,1.3,0.00821375
ALOX5,1.8,0.00145475
KDM5D,-0.1,0.916178493
CALCOCO1,-0.1,0.731634259
MAP4K5,1.1,0.007808474
EHD3,-1,0.002423604
PSMC4,-0.4,0.118672843
MAN2B2,-0.3,0.328204444
SLC7A14,-1,0.001399224
CLDN11,1.4,8.29E-04
SLC25A39,0.4,0.06466583
MVP,1.3,6.07E-05
PGM3,0.7,0.004090881
RWDD2A,-0.5,0.008586296
CLK1,0.8,6.51E-04
POLR3B,-0.6,7.55E-05
ANGEL1,0.5,0.005874543
RNF14,-0.2,0.536818543
DNASE1L1,-0.4,0.413545851
DDX11,0.4,0.299544653
HEBP1,0.6,3.26E-07
GPRC5A,3.1,1.80E-07
MAMLD1,0.1,0.556906677
TACC3,0.4,0.418756913
UFL1,0.9,0.022554565
POLA2,0.8,0.010154743
ZC3H3,-0.1,0.865993848
CAPN1,-0.5,0.124780415
ACP3,2.4,8.02E-04
MDH1,-1.8,4.95E-12
SLC30A9,-0.5,0.058870829
MTMR11,0.6,0.029605722
COX15,0.2,0.32314368
CCDC88C,0.1,0.754277766
YAF2,-0.2,0.477671092
ZMYND11,0.5,0.116754782
WAS,1.3,0.00210774
BID,-0.5,0.017737138
MATR3,0.8,0.070990013
NPC1L1,1.5,0.050679288
XYLT2,-0.2,0.241687213
STMN4,0.1,0.646994743
NUDCD3,-0.9,0.00157987
CHDH,1.2,0.006859909
IL20RA,1,0.033503618
CLCA4,1.4,2.31E-04
ATP2C1,0.2,0.310916104
IGF1,-0.4,0.579247704
SLC38A5,-0.4,0.247333774
RALBP1,-0.1,0.401468884
RUFY3,-0.1,0.769988938
CNTN1,-0.1,0.628145477
SLC11A1,2.7,1.34E-06
WWTR1,1.7,5.07E-05
AGPS,0.5,0.097773578
ZNF806,0.1,0.902171076
STEEP1,-0.3,0.131285032
ATP1A2,0.9,0.118070267
TTC27,0.4,0.029860518
ZNF582,-0.1,0.71807985
VSIG2,-0.8,0.038228636
PHLDB1,1.3,4.02E-05
MARCO,0.2,0.881598748
CYP24A1,-1.1,0.083625817
PRDM11,-0.6,0.001978667
SYT13,-1.8,6.36E-05
SNAI2,0.3,0.529693465
CD74,0.9,0.116084096
HGF,0.9,0.142287567
ZRANB1,-0.1,0.53098432
NCDN,-1.4,0.002476186
ADGRA2,-0.3,0.374481457
ZFP64,-0.1,0.588112457
MNAT1,0.1,0.862970804
SAMD4A,1.2,0.0010522
RUNX3,1.4,0.003415348
PLEKHB1,1.6,7.42E-08
SERPINB1,1.1,6.66E-05
CYP3A43,0.9,0.214636181
SLC7A9,0.7,0.22082437
SPAST,0.3,0.352180853
NRXN3,-1.2,5.54E-20
OSBPL5,-0.3,0.257488565
CPS1,1,0.032964851
FHL1,-0.3,0.015007439
GABRA1,-2.2,1.41E-10
NLRP2,-1.6,4.45E-04
SLC45A4,-1.2,2.93E-04
RNF10,-0.2,0.0150994
ZNF839,-0.2,0.52466699
ZDHHC6,-0.1,0.290070229
GRAMD1B,-0.9,2.04E-05
RNH1,0.2,0.372982095
NDUFS1,-0.6,7.61E-04
RB1CC1,0.1,0.766414634
ERP44,0.3,0.110896399
ALAS1,-0.6,0.025467346
BIRC3,1.4,9.33E-10
AKAP11,-0.5,0.050304362
GLRX2,0.1,0.846859078
DERA,1.2,4.83E-09
STRAP,-0.2,0.357095426
ABCC2,1.2,0.015551186
DEF6,0.8,0.169893994
PLEKHO1,-0.1,0.71489551
GCLM,-0.1,0.676378599
UBR2,0.1,0.714959026
EHD2,0.6,4.72E-05
DEPDC1,0.4,0.528416526
CCDC28A,-0.3,0.183547484
RRAGD,0.3,0.176596491
HSF2,-0.1,0.588078396
PHF20,-0.4,0.002722067
HSD17B6,1,0.085003639
NR1H3,0.3,0.142367709
TYMP,2.3,6.82E-05
NCAPH2,-0.3,0.331451422
TOMM34,-1,0.002240603
SEC63,0.3,0.226900252
KPNA6,-0.3,0.088221884
VIM,1.3,0.002469747
RTEL1-TNFRSF6B,-0.1,0.867484676
FAS,1.2,0.052302956
RNASET2,0.8,0.092468742
CD44,1.8,0.001330427
KCNG1,0.1,0.938293576
AGPAT4,0.3,0.348509053
SLAMF7,0.5,0.525164163
BTN3A1,0.9,4.40E-07
MIPEP,0.1,0.701486472
PRKCH,0.9,0.00604538
IFNGR1,0.7,1.24E-05
B4GALT7,-0.2,0.482026382
SH2D2A,1,0.077048741
VRK2,1.7,1.86E-05
TNFRSF1B,1.7,5.43E-05
VEZT,0.1,0.846512126
POU2F2,0.5,0.019113676
BRD9,-0.4,0.065314529
SNX1,0.6,0.011720052
TBPL1,-0.4,0.16491056
ARNTL2,-0.9,0.013938174
BCLAF1,-0.2,0.46477067
SLC39A9,0.1,0.605832769
ANK1,-2,3.80E-06
TFB1M,-0.3,0.102847901
RABEP1,0.3,0.246838076
HMGB3,-0.2,0.37962778
NUP160,0.5,0.016619156
BAK1,-0.1,0.661328759
MUSK,1.6,0.013929794
IKZF2,1.6,1.70E-05
GRN,0.5,0.283987999
FAM13B,-0.8,5.28E-05
ARHGAP31,1,0.023186216
CENPQ,1.1,0.0027519
SARS1,-1.1,6.94E-04
RANBP3,-0.2,0.426845826
ARID4A,0.1,0.873283361
EIPR1,-0.6,0.008091386
PNPLA6,-0.2,0.629654109
IFT88,0.9,8.92E-04
ALG1,-0.5,0.243782125
ZCCHC8,0.6,0.023730491
ABCF2,-0.8,2.43E-04
CHPF2,-0.7,0.110729321
LRRC7,-0.4,0.01527542
FUT8,0.9,0.010395272
UBA6,0.5,0.18347104
GAB2,1.6,1.89E-06
ATP6V0A1,-0.9,2.45E-04
SLC4A7,0.3,0.255414734
APBA2,-1,8.67E-04
MAP2K3,0.3,0.108015955
EFCAB1,-0.4,0.488064237
TMSB10,-0.7,0.111281014
ASTE1,-0.2,0.403051098
RNF19A,0.2,0.239003428
MYOC,1.3,0.110523102
SH3YL1,0.2,0.258427763
FAM136A,-0.3,0.200516609
VCL,0.4,0.15027721
DEPDC1B,-0.7,0.134328638
DAPK2,0.8,0.008948411
ADSS2,-0.3,0.308710541
TIMP2,0.5,8.02E-04
RFC1,0.6,0.04518691
TBC1D23,0.3,0.340876628
CUL3,-0.5,3.10E-05
MYOM2,-0.7,0.004705276
OTC,1.5,0.012308721
CYP46A1,-0.6,0.114635538
ZZZ3,0.5,0.038060766
USP2,-0.8,1.91E-05
TUBG2,-0.7,0.003468827
RPL26L1,-0.5,0.109319592
FLT4,0.7,0.019617316
NSUN2,0.2,0.595364023
FBXO42,-0.2,0.263558403
MFAP3,-0.1,0.744590439
MRI1,-0.3,0.161955374
METTL1,-0.5,0.301871645
AGA,0.4,0.258613589
PI4K2B,1.2,0.011232572
BOD1L1,-0.2,0.163327905
MAT2B,-0.6,0.011102558
TLL1,0.2,0.656664033
EDC4,-0.3,0.526713295
TRIO,-0.4,0.132878537
VCAN,2.4,7.03E-11
CLEC16A,-0.2,0.42256318
MSR1,1.2,0.027285665
CDH1,0.8,0.143306492
MTREX,0.1,0.445539204
DNAH5,-0.6,0.263023529
ZFYVE16,0.8,0.133679035
RIPOR1,-0.5,0.128307868
RAI14,1.7,3.59E-05
SOX30,-0.4,0.686043721
PNKP,-0.3,0.324792446
PHLPP2,-0.5,2.34E-06
SPDL1,0.8,0.032387015
STAU2,-1.1,6.57E-14
SLC66A1,-0.1,0.702589412
CTNS,0.6,0.015007439
RTN4R,-1.4,9.21E-04
PHF23,-0.5,0.030319589
CDH10,-0.1,0.267786131
INPP4A,-1.1,6.75E-04
RAB27B,-1.4,1.41E-06
PSMA4,-0.6,5.60E-04
MYO16,-0.3,0.576379584
LSG1,-0.2,0.268728831
PARP3,-0.1,0.461690817
TNC,1.5,0.002449626
THAP3,-0.3,0.234745915
RIPOR3,1.2,6.65E-05
TDP1,-0.6,0.001473922
AIFM2,0.1,0.53098432
C2orf83,0.9,0.309609082
SPATA7,-1,3.90E-06
MED17,0.2,0.466142261
RETSAT,0.1,0.313972948
CAPG,1.2,0.001185864
AP2S1,-0.9,0.015017489
TG,0.3,0.589115639
ADAM28,0.6,0.297817223
BARX2,-0.9,0.201493578
DCUN1D1,0.5,0.236935383
JADE2,-0.7,0.055490898
ZIC2,1,0.03958544
LCP2,0.2,0.523717671
TRIT1,-0.4,0.0480369
ADRB1,-0.3,0.377687702
CUL7,-0.4,0.240187897
CTNNA1,0.7,7.80E-05
PHKA2,0.2,0.26457245
CNTLN,0.6,0.119099203
EPHA3,-0.7,0.01889518
HSPA5,0.2,0.326459571
DSG2,-0.5,0.563706674
GEMIN8,0.3,0.071677797
OFD1,1,1.00E-04
GPM6B,1.1,0.020094284
PREX2,1.2,0.032243158
WDR37,-0.5,7.61E-04
YTHDC2,-0.3,0.341366961
CTPS2,0.7,0.005984712
ATP6V1H,-1.1,2.12E-04
POLR2B,-0.5,0.013180774
FAM214A,0.2,0.409286749
ARAP2,0.7,0.066273246
TPR,0.3,0.009165876
CP,3.4,9.52E-07
KATNIP,0.1,0.719522558
DTNBP1,-0.3,0.415340242
XK,-1.4,3.26E-06
ANO2,1.6,8.01E-08
C12orf4,-0.5,0.008962264
SCML1,0.7,0.170996752
WWC3,1,8.67E-05
ARHGAP6,0.7,0.033903397
FAM184B,-0.1,0.635163799
MAP4,1.3,1.99E-05
GOPC,-0.3,0.304223012
ROS1,-2.2,9.02E-07
USP28,-0.1,0.554754489
HDAC9,-0.1,0.721602988
TSPAN17,-0.6,0.064891368
NOP16,-0.4,0.281314175
CC2D2A,0.5,0.013073611
ZNF800,0.6,0.049361491
TNFRSF17,1.6,0.036084904
SNX29,0.7,0.001629114
LMO3,-0.5,0.011511033
MRPS10,-0.4,0.033288491
GUCA1A,-0.8,0.172466117
RSF1,0.3,0.365038579
VPS13D,-0.4,1.60E-04
CELF2,-0.7,1.93E-04
FAM120A,0.3,0.068705018
R3HDM1,-0.9,0.011622709
COL9A2,1,0.003968231
KITLG,-1.5,9.76E-11
ERCC8,0.3,0.213878412
ADAMTS6,0.3,0.431420052
H6PD,0.2,0.259721265
VAMP3,1.2,1.29E-04
PER3,0.3,0.47253051
EPN3,-2.7,9.15E-11
LTBP1,1.1,0.006196088
RCN1,-0.1,0.576690756
ELN,0.8,0.011512209
RFC2,-0.5,0.198421661
ARID1B,0.2,0.183227937
CLPTM1L,-0.2,0.22684709
NEDD4L,-0.4,0.080481193
FOXP3,0.2,0.729532044
PPP1R3F,-0.7,0.023177013
HEXB,-0.6,0.010410542
PTCD2,-0.2,0.103302207
NEXMIF,-0.6,0.019567286
JKAMP,-0.1,0.769914323
DKK3,-0.7,0.00322227
ARHGEF5,0.7,0.337801922
NFE2L3,0.1,0.779771515
MCUR1,0.2,0.426305167
LIMA1,1.6,2.27E-05
LETMD1,-0.5,0.002401627
SLC4A8,-1.1,1.39E-07
LAMC3,0.3,0.413855051
PTGER3,0.4,0.677772972
TNIP3,-0.7,0.313972948
MAPK9,-1.4,1.29E-12
COL23A1,-0.7,0.018857415
BCAR1,0.2,0.542894624
FAM160A2,-0.6,0.067351822
HERPUD1,-0.3,0.092722123
HOMER3,0.3,0.302694
POLQ,-0.4,0.588665632
PIK3CB,-0.7,3.65E-05
CYBA,1.5,0.016531454
THOC3,-1.1,5.26E-04
HEBP2,1.1,4.57E-06
MPHOSPH9,0.1,0.616239621
PLEKHA5,-0.9,5.40E-06
PRSS8,-0.5,0.469155373
SIKE1,0.2,0.429393563
RRP12,-0.9,0.013920563
FNIP2,-0.1,0.703050752
MSMO1,0.1,0.828235228
TTC17,0.2,0.196001449
ALX4,-0.3,0.693225827
FSTL4,-2.1,2.10E-11
FOXN3,0.4,0.123033801
METTL24,-0.2,0.780619927
AKR7A2,0.6,0.001699653
MRTO4,-0.7,0.011902333
NNAT,-1.2,0.022183496
USE1,-0.2,0.633774352
MCF2L2,-0.3,0.502418515
NRIP2,-0.2,0.517923449
LAMA3,0.3,0.272632592
AP5M1,-0.3,0.188662392
KCNQ1,1.2,0.032964851
TRAPPC3,-0.4,9.06E-04
PHPT1,0.2,0.265001815
ENTPD2,1.3,0.01447211
LY75,1.3,2.00E-04
ARID4B,0.3,0.362182606
OPN3,-2.1,1.63E-06
SDCCAG8,0.2,0.167382785
PTPRN,-1.3,0.021471291
HHAT,-0.2,0.364017888
FOXC1,0.8,0.060924488
TBC1D22A,-0.2,0.427411104
SYNE2,0.3,0.067568824
PLEKHH1,1.3,4.77E-04
ATP9A,-0.7,1.01E-06
CBLN4,-2.6,3.00E-15
CHRDL2,-0.1,0.85743123
GALC,0.6,0.127707955
NOP58,-0.2,0.562028261
SZRD1,1,2.75E-05
KCNH2,-0.8,0.020133974
CUL1,-0.7,1.78E-04
FAM114A2,0.3,0.228724359
CYFIP2,-0.7,0.028176299
TAB2,0.8,1.33E-04
GINM1,0.8,0.013405522
EIF2AK2,0.2,0.47329862
KMT2C,0.9,0.00399393
MCOLN3,0.5,0.562906064
CCDC85A,-0.5,0.495349342
PUM2,-0.1,0.805314578
MRPL43,0.1,0.358946542
ITIH4,-0.5,0.388876616
HPF1,-0.3,0.183074589
ZFR,0.3,0.133108094
ZNF280C,0.2,0.70316197
NPFFR2,-0.7,0.305487405
PHF21B,1,0.002367225
TRAF1,1.3,2.56E-12
RC3H2,-0.1,0.702388047
IL17RB,1.4,1.02E-04
TRAF3IP2,1.2,2.89E-05
GYG2,0.6,0.21713385
DCBLD2,-0.5,9.86E-04
SOAT1,0.5,0.004677696
PKP2,-1.5,6.72E-08
MSH4,0.8,0.225682431
F7,-1.8,3.76E-05
GDI2,0.1,0.797660906
PRDM1,0.1,0.824613854
ATG5,-0.4,0.044723445
TMCC3,1.3,0.002327221
PITHD1,-0.7,1.40E-04
MTA3,-0.7,0.009321241
USP13,-0.3,0.323448937
ATP11B,0.4,0.119633055
LAMC2,0.3,0.741249111
CDK14,-1.7,4.03E-16
SEC61A1,0.6,2.36E-05
RASGRF1,-1.7,2.59E-11
CAMK2B,-0.9,0.007541757
CROCC,0.2,0.601237492
ATP2B4,-0.1,0.744334136
ZC3H11A,0.2,0.818115685
RIOK2,0.3,0.308495201
YIPF1,-0.5,0.004813365
DGKG,0.2,0.316393758
FLYWCH1,-0.3,0.374481457
TBXAS1,1,0.093517265
PARP12,0.8,9.64E-06
ALDH18A1,0.3,0.0915654
TARBP1,-1.2,7.16E-42
GATB,-0.6,0.052829894
MXD1,0.8,0.057268773
DNAJC25,-0.3,0.161556425
SLC2A3,-0.3,0.184736998
PSD,-0.6,0.12294612
CTDP1,-0.1,0.658295499
YBX3,2.5,6.54E-13
STYK1,-1.3,0.054561434
WNK1,1.7,1.39E-05
CCAR1,0.6,0.042541627
OGFR,-0.3,0.145924609
GNA15,-0.4,0.365537751
CREB3L3,-0.3,0.641816898
PIGV,0.6,3.07E-04
PTPRU,-0.5,0.096480522
SNRNP40,-0.1,0.833595633
RIMBP2,-1.2,8.58E-04
COL11A1,0.6,0.045060799
QSER1,0.8,0.015792747
MPC1,0.4,0.2883831
ACAA1,0.1,0.784789449
BCAT1,-0.7,0.008170566
HDAC7,0.5,4.49E-04
LZTS1,-1.1,3.91E-04
PRDM6,1.2,0.016717039
WNT8A,-1.4,0.014142401
SPAG4,-0.8,0.035261451
NCKAP1,-0.6,2.36E-05
MRPS35,-0.5,0.001509704
GUCY1B1,-1.2,1.14E-04
TNK2,-0.1,0.87457765
MON2,0.3,0.4161514
CDH3,0.1,0.772669138
GPBP1,0.3,0.256285485
DGAT2,-0.9,0.02861244
ZNF112,0.1,0.528995762
CS,-0.6,5.56E-06
LTK,-1.5,3.56E-05
ELMO2,0.2,0.247683675
WAPL,0.5,0.071263014
VMP1,-0.1,0.605117425
APPBP2,0.1,0.752547499
POLD1,1.1,8.45E-04
SEZ6,-1,0.008947489
EIF4B,0.4,0.040418427
SLC6A16,0.5,0.19303412
SPHK2,-0.7,0.02616124
RPL18,0.4,0.011219995
CA11,-0.6,0.017221308
U2AF2,-0.1,0.777039676
EPN1,-0.5,0.220293176
MED29,0.1,0.243620921
AHRR,-0.4,0.465615602
ZNF275,0.3,0.016711602
MTMR1,-0.1,0.380607991
GPC1,-0.6,0.001492199
ADCK1,0.1,0.735426888
HAGH,-0.8,0.017068246
RNF4,-0.2,0.07581042
CASP8,-0.6,0.111140361
LIMCH1,0.8,0.046970337
INTS13,0.9,0.002954363
DLX3,-0.6,0.503224332
SPA17,-0.8,0.003590838
TSPAN32,0.1,0.783420946
CCN5,0.4,0.426461128
DMRT3,-1.1,0.134936939
ST3GAL6,-0.4,0.052182465
ATP2C2,0.7,0.016376157
NGFR,0.3,0.43452529
CDON,-0.7,0.043230572
TAF2,-0.1,0.649508325
HIPK2,2.1,4.14E-07
TNPO3,-0.2,0.126657761
BORCS8-MEF2B,0.7,0.460592284
RFXANK,0.9,5.14E-04
TMEM161A,-0.1,0.856668261
CTSA,-0.3,0.449909474
SUGP2,-0.7,0.001302953
SLC12A2,0.9,0.072434695
SNX24,0.3,0.304145882
EYA2,1.3,0.016475205
CNN2,1,9.86E-04
ABCA7,-0.3,0.528995762
SNCAIP,0.2,0.72949896
DDX20,-0.3,0.077568895
BTBD1,-0.1,0.659238066
FAR2,-1.2,3.67E-07
BCAS1,2.4,1.04E-07
POU1F1,0.5,0.609731204
CHI3L2,3.4,3.68E-08
SBNO2,1.2,1.39E-05
HMG20B,1.1,5.73E-07
CALCRL,1.3,2.19E-04
TAF11,0.1,0.747080828
ANKS1A,-0.3,0.244502386
AP3D1,-0.4,0.170607749
SLC9A3R2,0.2,0.093104508
NTHL1,-0.7,0.035221544
GNAI3,0.5,0.045375945
IPO5,-0.3,0.028505398
OAT,-0.5,0.005571287
PKN2,0.8,0.029993567
WDR18,-0.3,0.581093684
NTN1,1.7,4.88E-08
GLP2R,-1.4,0.004417255
MCM10,1.3,0.108449447
DGKA,-0.6,0.053469951
ERBB3,1.2,0.001316794
ROPN1,-0.8,0.348120385
ANKRD44,0.9,0.00628439
KARS1,-0.1,0.366913425
ADAT1,-0.1,0.839028545
PDIA5,-0.5,0.335823099
TBC1D22B,-0.5,7.06E-05
NDUFB4,-0.4,1.52E-05
SPEN,0.4,0.035261451
MYLK,1,0.013981206
ZC3H15,-0.6,0.002549039
MAP2K4,-1.3,8.50E-10
PACC1,1,0.03183619
SNAP91,-1.3,4.37E-05
SLK,0.2,0.572187515
CYB5R4,-0.2,0.596668004
