"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","odds_ratio"
"WP247","Small Ligand GPCRs","6/1022","10/4839",0.00837134097206408,0.153474584487841,0.14360195039798,"1902/5733/5734/5737/1901/9294",6,5.62942913385827
"WP4545","Oxysterols derived from cholesterol","6/1022","10/4839",0.00837134097206408,0.153474584487841,0.14360195039798,"9023/1593/1717/2053/2099/1880",6,5.62942913385827
"WP4337","ncRNAs involved in STAT3 signaling in hepatocellular carcinoma","7/1022","13/4839",0.00947004961583731,0.167416948565695,0.156647437254452,"3590/3569/3570/3572/3717/6659/6935",7,4.38045977011494
"WP2363","Gastric Cancer Network 2","12/1022","29/4839",0.0106076900909422,0.181062296379876,0.169415014156609,"29028/27101/63922/79075/55215/84823/4609/5983/5984/7153/11065/29089",12,2.65579499126383
"WP1971","Integrated Cancer Pathway","16/1022","43/4839",0.0111649064981956,0.184220957220227,0.172370486287932,"596/641/672/993/983/1017/1019/1111/11200/1869/4312/4436/2956/4609/5347/5451",16,2.23253074147706
"WP474","Endochondral Ossification","19/1022","54/4839",0.0116567995879756,0.18613276761445,0.17415931472697,"9510/9507/11096/1028/5167/2247/2260/2487/2690/9759/3479/4208/4256/4322/5745/6696/6777/7067/7078",19,2.04694487964677
"WP706","Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways","31/1022","100/4839",0.012513191903912,0.193563437263639,0.181111988082937,"34/627/1390/1958/2305/23171/7184/3569/3570/3757/4150/4204/4208/4602/2908/4915/5354/10891/133522/5577/6095/6262/6330/291/6640/6869/6929/11076/7259/6844/7434",31,1.69917664780123
"WP4149","White fat cell differentiation","12/1022","30/4839",0.0143601520308822,0.214413838417165,0.20062113536109,"1052/1879/1959/2308/28999/10365/9314/2908/5914/6095/6777/23090",12,2.50759075907591
"WP4589","Major receptors targeted by epinephrine and norepinephrine","6/1022","11/4839",0.0151605744335369,0.214413838417165,0.20062113536109,"108/196883/111/115/150/154",6,4.50236220472441
"WP554","ACE Inhibitor Pathway","6/1022","11/4839",0.0151605744335369,0.214413838417165,0.20062113536109,"185/623/624/1511/4846/4306",6,4.50236220472441
"WP2431","Spinal Cord Injury","28/1022","90/4839",0.0162686915442285,0.221975388746869,0.207696270172509,"358/627/7832/6347/983/1017/1019/1464/2920/1869/1958/2353/3569/4321/4609/4804/3164/9423/5320/56963/388/65078/6403/9353/6586/6869/7431/7538",28,1.70604270786006
"WP3959","DNA IR-Double Strand Breaks (DSBs) and cellular response via ATM","18/1022","52/4839",0.0165920997649174,0.221975388746869,0.207696270172509,"25/86/637/641/672/675/995/1020/1111/11200/1869/9156/2177/5111/5591/5888/5883/10413",18,1.99478556362784
"WP2029","Cell Differentiation - Index","4/1022","6/4839",0.0205766471129607,0.261165136433732,0.244365039937995,"10014/4208/4209/6722",4,7.4950884086444
"WP3944","Serotonin and anxiety-related events","4/1022","6/4839",0.0205766471129607,0.261165136433732,0.244365039937995,"2353/2906/84812/5579",4,7.4950884086444
"WP3893","Development and heterogeneity of the ILC family","8/1022","18/4839",0.0221682040659433,0.274331525316048,0.256684468131975,"374/3398/90865/3569/6095/9760/85480/7704",8,3.00355029585799
"WP516","Hypertrophy Model","7/1022","15/4839",0.023921397351209,0.281930754496392,0.26379485800832,"467/1978/1839/3727/8013/9948/6935",7,3.28362068965517
"WP545","Complement Activation","7/1022","15/4839",0.023921397351209,0.281930754496392,0.26379485800832,"715/716/718/730/1675/5199/5648",7,3.28362068965517
"WP2814","Mammary gland development pathway - Puberty (Stage 2 of 4)","6/1022","12/4839",0.0249881820525124,0.283655270848162,0.265408440559683,"374/2099/8061/4609/5241/7431",6,3.7509842519685
"WP428","Wnt Signaling","28/1022","93/4839",0.0252138018531699,0.283655270848162,0.265408440559683,"817/894/1457/23500/22943/8061/2535/8324/2932/4609/4772/4776/85407/51701/5331/5332/5532/5533/166336/5579/4919/4920/5176/6422/64321/81839/7472/7482",28,1.62600216684724
"WP4172","PI3K-Akt Signaling Pathway","66/1022","252/4839",0.0279094709530498,0.306261336676163,0.286560315018632,"10000/284/596/627/672/894/898/9134/1017/1019/1286/1288/1291/1292/90993/9586/1440/1944/1945/1975/1978/2256/2258/2247/2252/2260/2690/2791/55970/54331/2788/2932/3082/7184/3479/3563/3569/3570/3678/3679/8516/3680/3690/3717/3815/3908/3913/10319/1902/4602/4609/4804/4846/4893/4915/80310/5156/5516/5521/5525/5563/5649/6696/7010/7148/7450",66,1.34771899041706
"WP170","Nuclear Receptors","11/1022","29/4839",0.028460649468896,0.306261336676163,0.286560315018632,"2099/7025/2908/3164/4929/5241/5465/5914/4919/6095/7067",11,2.29635124738982
"WP3297","EV release from cardiac cells and their functional effects","3/1022","4/4839",0.0316543966692141,0.333381411728957,0.31193582383996,"6387/10365/4602",3,11.234543670265
"WP2858","Ectoderm Differentiation","32/1022","112/4839",0.0363507203093282,0.369978106127767,0.34617834491487,"79658/55843/23229/91653/10486/6347/5010/1756/2534/8322/2627/10013/3853/9079/4204/4609/4772/51701/51422/56963/114822/4920/6386/6622/8835/114815/10253/6781/6929/7226/8848/7704",32,1.50989898989899
"WP4752","Base Excision Repair","11/1022","30/4839",0.0366240953540618,0.369978106127767,0.34617834491487,"2237/3978/4595/10038/5111/11284/5424/5426/5427/23583/7374",11,2.17491800718413
"WP3591","Sleep regulation","6/1022","13/4839",0.0382894384268054,0.379065440425373,0.354681113848302,"191/1471/2353/3569/8863/5730",6,3.21428571428571
"WP1992","Genes targeted by miRNAs in adipocytes","5/1022","10/4839",0.0406085173589397,0.38656184793606,0.361695296314442,"2078/9464/9759/3479/6722",5,3.74827925270403
"WP2815","Mammary gland development pathway - Involution (Stage 4 of 4)","5/1022","10/4839",0.0406085173589397,0.38656184793606,0.361695296314442,"1116/1869/3572/4609/9021",5,3.74827925270403
"WP1984","Integrated Breast Cancer Pathway","39/1022","143/4839",0.0451540264348633,0.421721567646365,0.394593279669113,"25/6790/596/637/641/672/675/993/1017/1019/1111/11200/55526/1869/26284/2099/27145/8061/2308/4312/4436/2956/4609/79902/4953/5347/1263/5888/8438/5906/6237/23411/4092/6597/7035/7048/27005/7465/7517",39,1.41645473041709
"WP34","Ovarian Infertility Genes","7/1022","17/4839",0.0488930677721469,0.440037609949322,0.411731097028606,"894/1019/1958/2701/5241/6609/7784",7,2.62551724137931
"WP4300","Extracellular vesicles in the crosstalk of cardiac cells","7/1022","17/4839",0.0488930677721469,0.440037609949322,0.411731097028606,"332/975/3479/3569/10611/8470/6696",7,2.62551724137931
"WP2849","Hematopoietic Stem Cell Differentiation","14/1022","43/4839",0.0536575816417183,0.467920123508186,0.43781999860415,"863/947/1440/2313/2353/2354/3569/3663/3690/3757/4602/3071/399/7148",14,1.81417624521073
"WP1601","Fluoropyrimidine Activity","10/1022","28/4839",0.0538817111918517,0.467920123508186,0.43781999860415,"1066/8836/4524/5471/6241/23583/7083/7298/7371/7517",10,2.08552920509442
"WP3876","BMP2-WNT4-FOXO1 Pathway in Human Primary Endometrial Stromal Cell Differentiation","5/1022","11/4839",0.0618151364634419,0.524734603786845,0.490979746233305,"1634/22943/2308/6422/4093",5,3.12274664044576
"WP241","One Carbon Metabolism","9/1022","25/4839",0.062831257423353,0.524734603786845,0.490979746233305,"191/1786/1788/1789/2618/25902/4524/6472/7298",9,2.11062438302073
"WP2895","Differentiation of white and brown adipocyte   ","7/1022","18/4839",0.0658997992215493,0.524734603786845,0.490979746233305,"253738/27129/10891/133522/63976/4093/23090",7,2.38620689655172
"WP2118","Arrhythmogenic Right Ventricular Cardiomyopathy","17/1022","56/4839",0.0661533109186531,0.524734603786845,0.490979746233305,"775/781/783/785/1674/1756/3678/3679/8516/3680/3690/3908/6262/6442/6443/6444/6546",17,1.63862737594081
"WP206","Fatty Acid Omega Oxidation","3/1022","5/4839",0.0667844041183257,0.524734603786845,0.490979746233305,"125/126/217",3,5.61579980372915
"WP3299","let-7 inhibition of ES cell reprogramming","3/1022","5/4839",0.0667844041183257,0.524734603786845,0.490979746233305,"1958/9314/4609",3,5.61579980372915
"WP98","Prostaglandin Synthesis and Regulation","12/1022","37/4839",0.0728698633344591,0.559196388737501,0.523224691216376,"309/1909/1910/4286/10891/133522/5730/5733/5734/5737/5740/5742",12,1.80213861386139
"WP4698","Vitamin D-sensitive calcium signaling in depression","8/1022","22/4839",0.0734298288241164,0.559196388737501,0.523224691216376,"493/596/775/1593/2906/3708/23028/6546",8,2.14313891236968
"WP4336","ncRNAs involved in Wnt signaling in hepatocellular carcinoma","20/1022","69/4839",0.0752279353205046,0.564209514903784,0.527915335582488,"894/1457/22943/2146/8061/2535/8324/2932/9314/4609/85407/51701/4919/4920/5176/6422/64321/83595/7472/7482",20,1.53488940486374
"WP3998","Prader-Willi and Angelman Syndrome","10/1022","30/4839",0.0825797783657116,0.610104332701899,0.570857855159672,"627/894/990/1019/1869/9638/4487/4692/5108/5590",10,1.87598814229249
"WP4224","Purine metabolism and related disorders","7/1022","19/4839",0.0860390711246063,0.623135020434443,0.583050311517608,"316/1716/2618/3251/3704/10606/5471",7,2.1867816091954
"WP3624","Lung fibrosis","13/1022","42/4839",0.087955807542379,0.623135020434443,0.583050311517608,"6347/1440/2920/2006/2247/2252/3082/3479/3569/4204/5806/4092/6696",13,1.68292266156317
"WP4760","PKC-gamma calcium signaling pathway in ataxia","5/1022","12/4839",0.0881201038998203,0.623135020434443,0.583050311517608,"9630/3708/5331/5332/6263",5,2.67593763168984
"WP3932","Focal Adhesion-PI3K-Akt-mTOR-signaling pathway","60/1022","243/4839",0.0951492832930012,0.663364721549797,0.620692137122617,"10000/284/1301/1286/1288/1292/90993/9586/1440/1944/1945/1975/1978/2256/2258/2247/2252/2260/2308/2690/2791/55970/54331/2788/2932/3082/64344/7184/3479/3563/3570/3678/3679/8516/3680/3690/3717/3815/3908/3913/10319/1902/4804/4846/4893/80310/5156/5210/10891/5516/5521/5525/5563/5649/6515/6517/6696/7010/7148/7450",60,1.23853992706452
"WP3679","Cell-type Dependent Selectivity of CCK2R Signaling","4/1022","9/4839",0.100966138374052,0.685679647373976,0.641571599882083,"3708/6262/6263/7220",4,2.99567779960707
"WP497","Urea cycle and metabolism of amino groups","6/1022","16/4839",0.101120432845051,0.685679647373976,0.641571599882083,"5832/1152/2593/162417/4953/5831",6,2.24822834645669
"WP4258","LncRNA involvement in canonical Wnt signaling and colorectal cancer","21/1022","76/4839",0.106066145727212,0.70949651533743,0.663856388619817,"467/894/1457/22943/2146/8061/2535/8324/2932/4609/85407/51701/4919/4920/8607/5176/6422/64321/6929/7472/7482",21,1.43496503496503
"WP2338","miRNA Biogenesis","3/1022","6/4839",0.112992161123691,0.735935786266143,0.688594887734403,"5901/6895/57510",3,3.74288518155054
"WP4571","Urea cycle and related diseases","3/1022","6/4839",0.112992161123691,0.735935786266143,0.688594887734403,"162417/10165/10166",3,3.74288518155054
"WP1495","Glycine Metabolism","2/1022","3/4839",0.114915958441986,0.738745447127052,0.691223810177358,"4524/6472",2,7.48235294117647
"WP2355","Corticotropin-releasing hormone signaling pathway","20/1022","73/4839",0.120714965545451,0.766075742884595,0.716796016734124,"408/596/8912/2353/2354/8061/2775/2781/2932/3726/3727/4846/3164/4929/5336/5563/5579/10411/9095/6925",20,1.41754227394268
"WP4560","MFAP5 effect on permeability and motility of endothelial cells via cytoskeleton rearrangement","6/1022","17/4839",0.12960808652118,0.812101301620054,0.759860867012917,"3690/3708/4026/8076/4638/7414",6,2.04330708661417
"WP3658","Wnt/beta-catenin Signaling Pathway in Leukemia","7/1022","21/4839",0.135477853961833,0.83826922138884,0.784345470305348,"22943/2932/4609/5914/862/6929/7704",7,1.87339901477833
"WP2817","Mammary gland development pathway - Pregnancy and lactation (Stage 3 of 4)","8/1022","25/4839",0.138618514440201,0.84711314380123,0.792620485428051,"857/2099/3717/4609/2908/5241/7170/7528",8,1.76354565494837
"WP2855","Dopaminergic Neurogenesis","4/1022","10/4839",0.141204552384128,0.852393334513942,0.797561014749887,"1028/4487/4929/6571",4,2.49574328749181
"WP2877","Vitamin D Receptor Pathway","30/1022","118/4839",0.148165697304679,0.883638797178506,0.826796535371702,"5243/11096/154/623/768/898/4345/1017/78989/1474/2308/50486/29923/3400/3488/3663/3726/9365/9314/4609/5734/6304/7869/6422/6517/6546/6696/79689/7078/7168",30,1.28150201612903
"WP1545","miRNAs involved in DNA damage response","5/1022","14/4839",0.1547702251525,0.912038826791517,0.853369662494987,"25/898/993/1869/4609",5,2.08019228668196
"WP1541","Energy Metabolism","12/1022","42/4839",0.15854563148268,0.912159802926657,0.853482856539562,"2308/2932/4208/4209/5465/10891/133522/5532/5533/5563/51422/23411",12,1.49980198019802
"WP2038","Regulation of Microtubule Cytoskeleton","12/1022","42/4839",0.15854563148268,0.912159802926657,0.853482856539562,"25/9212/983/1073/1808/2048/2932/11004/3984/4131/3925/11076",12,1.49980198019802
"WP117","GPCRs, Other","7/1022","22/4839",0.1644335990261,0.912159802926657,0.853482856539562,"154/1951/1909/1880/59352/5737/1901",7,1.74804597701149
"WP2879","Farnesoid X Receptor  Pathway","3/1022","7/4839",0.167689983972375,0.912159802926657,0.853482856539562,"5244/2289/10891",3,2.80642787046124
"WP322","Osteoblast Signaling","3/1022","7/4839",0.167689983972375,0.912159802926657,0.853482856539562,"3690/5156/5745",3,2.80642787046124
"WP3407","FTO Obesity Variant Mechanism","3/1022","7/4839",0.167689983972375,0.912159802926657,0.853482856539562,"84159/10891/63976",3,2.80642787046124
"WP3947","Serotonin and anxiety","3/1022","7/4839",0.167689983972375,0.912159802926657,0.853482856539562,"2353/84812/5579",3,2.80642787046124
"WP3594","Circadian rhythm related genes","34/1022","138/4839",0.177587188667422,0.920698826812516,0.861472586491243,"191/1019/1390/1408/1471/1958/1960/2146/2932/3066/3398/3400/3569/3727/3778/7071/687/56339/4804/4841/5187/8864/8863/5465/10891/5563/5591/5730/6095/23411/8914/7153/7298/9099",34,1.22860868888197
"WP4321","Thermogenesis","23/1022","90/4839",0.180110321104423,0.920698826812516,0.861472586491243,"86/108/196883/111/115/353500/656/90993/9586/2260/23028/11343/4881/4893/10891/63976/5563/51422/5592/6196/6597/6598/6602",23,1.28860203487069
"WP4259","Disorders of Folate Metabolism and Transport","4/1022","11/4839",0.186569932910234,0.920698826812516,0.861472586491243,"2618/4524/6472/7298",4,2.13864720740949
"WP2840","Hair Follicle Development: Cytodifferentiation (Part 3 of 3)","15/1022","56/4839",0.187328788615833,0.920698826812516,0.861472586491243,"6868/4345/947/22943/1959/2353/2354/3479/3488/4487/4772/2908/6422/6929/6925",15,1.37186039189091
"WP2197","Endothelin Pathways","7/1022","23/4839",0.195858426981202,0.920698826812516,0.861472586491243,"790/1264/1909/1910/4638/4846/10267",7,1.63836206896552
"WP3599","Transcription factor regulation in adipogenesis","6/1022","19/4839",0.196272918961637,0.920698826812516,0.861472586491243,"1052/2308/3569/2908/10891/6517",6,1.72804360993337
"WP4288","MTHFR deficiency","6/1022","19/4839",0.196272918961637,0.920698826812516,0.861472586491243,"501/1786/1788/1789/2906/4524",6,1.72804360993337
"WP1995","Effects of Nitric Oxide","2/1022","4/4839",0.198177520214758,0.920698826812516,0.861472586491243,"316/4846",2,3.74019607843137
"WP2542","Sulindac Metabolic Pathway","2/1022","4/4839",0.198177520214758,0.920698826812516,0.861472586491243,"4482/253827",2,3.74019607843137
"WP334","GPCRs, Class B Secretin-like","2/1022","4/4839",0.198177520214758,0.920698826812516,0.861472586491243,"5745/7434",2,3.74019607843137
"WP4720","Eicosanoid metabolism via Cytochrome P450 Mono-Oxygenases (CYP) pathway","2/1022","4/4839",0.198177520214758,0.920698826812516,0.861472586491243,"2053/5465",2,3.74019607843137
"WP176","Folate Metabolism","12/1022","44/4839",0.20300016766834,0.920698826812516,0.861472586491243,"191/6347/80308/2350/2618/2878/3569/4524/12/6472/6573/6649",12,1.40532178217822
"WP410","Exercise-induced Circadian Regulation","12/1022","44/4839",0.20300016766834,0.920698826812516,0.861472586491243,"11335/7122/1408/50486/2674/687/5187/8864/5516/5813/11030/10381",12,1.40532178217822
"WP1438","Influenza A virus infection","1/1022","1/4839",0.211200661293655,0.920698826812516,0.861472586491243,"596",1,Inf
"WP1600","Nicotine Metabolism","1/1022","1/4839",0.211200661293655,0.920698826812516,0.861472586491243,"316",1,Inf
"WP1603","Nicotine Activity on Chromaffin Cells","1/1022","1/4839",0.211200661293655,0.920698826812516,0.861472586491243,"775",1,Inf
"WP4400","FABP4 in ovarian cancer","1/1022","1/4839",0.211200661293655,0.920698826812516,0.861472586491243,"2167",1,Inf
"WP2525","Trans-sulfuration and one carbon metabolism","8/1022","28/4839",0.224525950160984,0.920698826812516,0.861472586491243,"191/1786/1788/1789/25902/4524/6472/7298",8,1.49783037475345
"WP1455","Serotonin Transporter Activity","3/1022","8/4839",0.228117947120316,0.920698826812516,0.861472586491243,"3690/5516/7041",3,2.24455348380765
"WP3875","ATR Signaling","3/1022","8/4839",0.228117947120316,0.920698826812516,0.861472586491243,"1111/5883/11073",3,2.24455348380765
"WP4191","Caloric restriction and aging","3/1022","8/4839",0.228117947120316,0.920698826812516,0.861472586491243,"3479/10891/23411",3,2.24455348380765
"WP4583","Biomarkers for urea cycle disorders","3/1022","8/4839",0.228117947120316,0.920698826812516,0.861472586491243,"2159/2593/162417",3,2.24455348380765
"WP2572","Primary Focal Segmental Glomerulosclerosis FSGS","15/1022","58/4839",0.228867396275626,0.920698826812516,0.861472586491243,"375790/1028/1286/22943/2534/3611/3690/3913/4288/55742/5111/11346/7094/7414/7431",15,1.30736010715688
"WP4657","22q11.2 Deletion Syndrome","15/1022","58/4839",0.228867396275626,0.920698826812516,0.861472586491243,"59/70/8318/7122/2260/9464/5308/5902/65078/6576/6517/6722/27037/7450/7625",15,1.30736010715688
"WP1528","Physiological and Pathological Hypertrophy  of the Heart","7/1022","24/4839",0.229413888363834,0.920698826812516,0.861472586491243,"817/2353/3572/3977/4776/5532/5579",7,1.54158215010142
"WP3640","Imatinib and Chronic Myeloid Leukemia","6/1022","20/4839",0.233557704720861,0.920698826812516,0.861472586491243,"5243/25/3815/4609/5156/6502",6,1.60419010123735
"WP3872","Regulation of Apoptosis by Parathyroid Hormone-related Protein","6/1022","20/4839",0.233557704720861,0.920698826812516,0.861472586491243,"596/83596/599/637/2932/4609",6,1.60419010123735
"WP4538","Regulatory circuits of the STAT3 signaling pathway","17/1022","67/4839",0.235097418060392,0.920698826812516,0.861472586491243,"185/2690/3590/58985/3563/3570/3572/3717/3977/225689/5156/5579/5789/80854/9021/3925/7297",17,1.27440796019901
"WP4658","Small cell lung cancer","22/1022","89/4839",0.235584492112176,0.920698826812516,0.861472586491243,"10000/596/637/330/898/9134/1017/1019/1028/1163/1164/1286/1288/1869/1870/4616/3908/3913/10319/4609/7185/7186",22,1.23134328358209
"WP186","Homologous recombination","4/1022","12/4839",0.235794847415441,0.920698826812516,0.861472586491243,"675/5424/5888/25788",4,1.87082514734774
"WP272","Blood Clotting Cascade","4/1022","12/4839",0.235794847415441,0.920698826812516,0.861472586491243,"2159/2161/2157/7450",4,1.87082514734774
"WP4584","Biomarkers for pyrimidine metabolism disorders","4/1022","12/4839",0.235794847415441,0.920698826812516,0.861472586491243,"1152/80324/6241/7298",4,1.87082514734774
"WP2011","SREBF and miR33 in cholesterol and lipid homeostasis","5/1022","16/4839",0.236219699000383,0.920698826812516,0.861472586491243,"2194/5465/10891/6319/23411",5,1.70108161258604
"WP2878","PPAR Alpha Pathway","5/1022","16/4839",0.236219699000383,0.920698826812516,0.861472586491243,"34/983/1019/4609/5465",5,1.70108161258604
"WP4304","Oligodendrocyte Specification and differentiation(including remyelination), leading to Myelin Components for CNS","5/1022","16/4839",0.236219699000383,0.920698826812516,0.861472586491243,"2920/2247/3479/5354/6663",5,1.70108161258604
"WP734","Serotonin Receptor 4/6/7 and NR3C Signaling","5/1022","16/4839",0.236219699000383,0.920698826812516,0.861472586491243,"1958/2908/5906/9252/6722",5,1.70108161258604
"WP2064","Neural Crest Differentiation","16/1022","64/4839",0.264602321898724,0.999930074063124,0.935607086842689,"2247/2260/2932/3066/9759/10014/10013/4286/4359/4487/4602/4609/5376/388/6663/6925",16,1.24884029158383
"WP2374","Oncostatin M Signaling Pathway","16/1022","64/4839",0.264602321898724,0.999930074063124,0.935607086842689,"6347/1017/1958/2353/3572/3717/3726/3727/3977/4312/4322/5579/9021/6777/7078/7297",16,1.24884029158383
"WP3584","MECP2 and Associated Rett Syndrome","13/1022","51/4839",0.268668191587185,0.999930074063124,0.935607086842689,"627/1052/1465/1869/2146/2247/2289/2571/2593/114787/3479/4204/4208",13,1.28128423139116
"WP24","Peptide GPCRs","6/1022","21/4839",0.272789645024472,0.999930074063124,0.935607086842689,"185/623/624/1909/1910/6869",6,1.49685039370079
"WP382","MAPK Signaling Pathway","45/1022","195/4839",0.272925856991294,0.999930074063124,0.935607086842689,"10000/408/627/775/8912/781/783/785/1843/1850/2256/2258/2247/2252/2260/2316/2318/2353/55970/3306/3727/120892/9020/1326/23542/4208/4609/4772/51701/3164/4893/4915/8605/5532/5533/5881/5906/10235/9252/6237/6722/3925/7043/7048/7186",45,1.12599795291709
