ENSMUSG00000051951	Xkr4
ENSMUSG00000101447	Gm28826
ENSMUSG00000051616	C230029F24Rik
ENSMUSG00000099608	4933411E06Rik
ENSMUSG00000100451	Gm29665
ENSMUSG00000100816	Gm28321
ENSMUSG00000026109	Tmeff2
ENSMUSG00000100671	Gm28322
ENSMUSG00000101242	Gm28319
ENSMUSG00000099625	Gm29325
ENSMUSG00000101799	9330175M20Rik
ENSMUSG00000045954	Sdpr
ENSMUSG00000101702	1700072G22Rik
ENSMUSG00000026107	Nabp1
ENSMUSG00000099413	Gm17767
ENSMUSG00000101741	Gm28055
ENSMUSG00000018417	Myo1b
ENSMUSG00000062939	Stat4
ENSMUSG00000026104	Stat1
ENSMUSG00000026103	Gls
ENSMUSG00000002881	Nab1
ENSMUSG00000100120	Gm553
ENSMUSG00000099878	Gm28178
ENSMUSG00000043015	Tmem194b
ENSMUSG00000041439	Mfsd6
ENSMUSG00000026102	Inpp1
ENSMUSG00000041426	Hibch
ENSMUSG00000043629	1700019D03Rik
ENSMUSG00000026100	Mstn
ENSMUSG00000060715	1700019A02Rik
ENSMUSG00000026098	Pms1
ENSMUSG00000100763	Gm28777
ENSMUSG00000026097	Ormdl1
ENSMUSG00000100679	Gm28778
ENSMUSG00000026096	Osgepl1
ENSMUSG00000099913	Gm28551
ENSMUSG00000026095	Asnsd1
ENSMUSG00000096141	Dnah7a
ENSMUSG00000026094	Stk17b
ENSMUSG00000042807	Hecw2
ENSMUSG00000025983	Ccdc150
ENSMUSG00000041303	Gtf3c3
ENSMUSG00000073678	Pgap1
ENSMUSG00000052331	Ankrd44
ENSMUSG00000101674	4930444A19Rik
ENSMUSG00000025982	Sf3b1
ENSMUSG00000025981	Coq10b
ENSMUSG00000025980	Hspd1
ENSMUSG00000073676	Hspe1
ENSMUSG00000025979	Mob4
ENSMUSG00000025978	Rftn2
ENSMUSG00000097649	Gm10561
ENSMUSG00000046994	Mars2
ENSMUSG00000025977	Boll
ENSMUSG00000038349	Plcl1
ENSMUSG00000099950	9130227L01Rik
ENSMUSG00000100372	1700003I22Rik
ENSMUSG00000101332	Gm28240
ENSMUSG00000045336	Hsfy2
ENSMUSG00000038331	Satb2
ENSMUSG00000099945	1700126A01Rik
ENSMUSG00000101429	BC055402
ENSMUSG00000097519	4930558J18Rik
ENSMUSG00000038323	1700066M21Rik
ENSMUSG00000048495	Tyw5
ENSMUSG00000025971	9430016H08Rik
ENSMUSG00000038305	Spats2l
ENSMUSG00000091283	Gm17234
ENSMUSG00000054770	Kctd18
ENSMUSG00000026039	Sgol2a
ENSMUSG00000063558	Aox1
ENSMUSG00000064294	Aox3
ENSMUSG00000038242	Aox4
ENSMUSG00000089822	Gm15759
ENSMUSG00000079554	Aox2
ENSMUSG00000051223	Bzw1
ENSMUSG00000026034	Clk1
ENSMUSG00000026035	Ppil3
ENSMUSG00000026036	Nif3l1
ENSMUSG00000026037	Orc2
ENSMUSG00000085054	Gm15834
ENSMUSG00000038174	Fam126b
ENSMUSG00000026032	Ndufb3
ENSMUSG00000047528	Als2cr12
ENSMUSG00000026031	Cflar
ENSMUSG00000026029	Casp8
ENSMUSG00000026028	Trak2
ENSMUSG00000026027	Stradb
ENSMUSG00000099752	Gm29018
ENSMUSG00000072295	Als2cr11
ENSMUSG00000038079	Tmem237
ENSMUSG00000097573	G730003C15Rik
ENSMUSG00000079550	Mpp4
ENSMUSG00000101586	Gm29017
ENSMUSG00000026024	Als2
ENSMUSG00000026023	Cdk15
ENSMUSG00000099922	Gm29016
ENSMUSG00000041075	Fzd7
ENSMUSG00000097819	Gm26813
ENSMUSG00000047361	Gm973
ENSMUSG00000099811	Gm28411
ENSMUSG00000101409	1700122D07Rik
ENSMUSG00000026021	Sumo1
ENSMUSG00000026020	Nop58
ENSMUSG00000067336	Bmpr2
ENSMUSG00000041040	Fam117b
ENSMUSG00000026018	Ica1l
ENSMUSG00000026019	Wdr12
ENSMUSG00000026017	Carf
ENSMUSG00000073664	Nbeal1
ENSMUSG00000049439	Cyp20a1
ENSMUSG00000026782	Abi2
ENSMUSG00000026014	Raph1
ENSMUSG00000026012	Cd28
ENSMUSG00000086795	Gm11579
ENSMUSG00000085965	2310016D23Rik
ENSMUSG00000026011	Ctla4
ENSMUSG00000026009	Icos
ENSMUSG00000100893	Gm28083
ENSMUSG00000085248	Gm11587
ENSMUSG00000085447	9530026F06Rik
ENSMUSG00000086408	Gm11588
ENSMUSG00000100965	Gm28449
ENSMUSG00000086009	4930587A21Rik
ENSMUSG00000052062	Pard3b
ENSMUSG00000085842	Pard3bos1
ENSMUSG00000085019	Pard3bos2
ENSMUSG00000085400	Pard3bos3
ENSMUSG00000100750	Gm29084
ENSMUSG00000025969	Nrp2
ENSMUSG00000100811	Gm29083
ENSMUSG00000100426	Gm4208
ENSMUSG00000040865	Ino80d
ENSMUSG00000084799	Ino80dos
ENSMUSG00000101599	Gm20342
ENSMUSG00000025968	Ndufs1
ENSMUSG00000025967	Eef1b2
ENSMUSG00000046856	Gpr1
ENSMUSG00000087561	Gm11608
ENSMUSG00000027520	Zdbf2
ENSMUSG00000025964	Adam23
ENSMUSG00000069085	Dytn
ENSMUSG00000025963	Mdh1b
ENSMUSG00000025962	Fastkd2
ENSMUSG00000025961	4933402D24Rik
ENSMUSG00000044689	Gm13749
ENSMUSG00000025959	Klf7
ENSMUSG00000097272	Gm26649
ENSMUSG00000086836	Gm13748
ENSMUSG00000101895	Gm28981
ENSMUSG00000025958	Creb1
ENSMUSG00000025956	Mettl21a
ENSMUSG00000101832	Gm28982
ENSMUSG00000100437	Gm29152
ENSMUSG00000070871	Ccnyl1
ENSMUSG00000045005	Fzd5
ENSMUSG00000051344	Plekhm3
ENSMUSG00000025955	Akr1cl
ENSMUSG00000070870	Cryge
ENSMUSG00000067299	Crygd
ENSMUSG00000025952	Crygc
ENSMUSG00000073658	Crygb
ENSMUSG00000044429	Cryga
ENSMUSG00000100846	Gm28845
ENSMUSG00000044816	D630023F18Rik
ENSMUSG00000025950	Idh1
ENSMUSG00000025949	Pikfyve
ENSMUSG00000025946	Pth2r
ENSMUSG00000025945	Crygf
ENSMUSG00000015222	Map2
ENSMUSG00000073656	Gm10558
ENSMUSG00000055567	Unc80
ENSMUSG00000026005	Rpe
ENSMUSG00000026004	Kansl1l
ENSMUSG00000026003	Acadl
ENSMUSG00000061816	Myl1
ENSMUSG00000026000	Lancl1
ENSMUSG00000025991	Cps1
ENSMUSG00000086204	Gm15668
ENSMUSG00000085075	Gm15669
ENSMUSG00000087329	Gm15671
ENSMUSG00000062209	Erbb4
ENSMUSG00000099804	Gm28497
ENSMUSG00000100354	Gm29113
ENSMUSG00000101156	Gm29114
ENSMUSG00000025997	Ikzf2
ENSMUSG00000053153	Spag16
ENSMUSG00000045648	Vwc2l
ENSMUSG00000026196	Bard1
ENSMUSG00000050296	Abca12
ENSMUSG00000026192	Atic
ENSMUSG00000026193	Fn1
ENSMUSG00000073652	Apol7d
ENSMUSG00000099707	Gm8883
ENSMUSG00000101211	Gm28818
ENSMUSG00000101848	4933417E11Rik
ENSMUSG00000101764	4930556G22Rik
ENSMUSG00000102123	Gm4319
ENSMUSG00000039395	Mreg
ENSMUSG00000097131	D230017M19Rik
ENSMUSG00000026189	Pecr
ENSMUSG00000026188	Tmem169
ENSMUSG00000026187	Xrcc5
ENSMUSG00000039372	March4
ENSMUSG00000039354	Smarcal1
ENSMUSG00000039342	Ankar
ENSMUSG00000046330	Rpl37a
ENSMUSG00000039323	Igfbp2
ENSMUSG00000026185	Igfbp5
ENSMUSG00000101968	1700027A15Rik
ENSMUSG00000026182	Tnp1
ENSMUSG00000101112	Gm29185
ENSMUSG00000099877	Pinc
ENSMUSG00000101812	D530049I02Rik
ENSMUSG00000100444	C530043A13Rik
ENSMUSG00000100429	Gm29186
ENSMUSG00000100301	6030407O03Rik
ENSMUSG00000101344	Gm29183
ENSMUSG00000055322	Tns1
ENSMUSG00000061815	Rufy4
ENSMUSG00000026180	Cxcr2
ENSMUSG00000048480	Cxcr1
ENSMUSG00000006304	Arpc2
ENSMUSG00000064272	Gpbar1
ENSMUSG00000006299	Aamp
ENSMUSG00000101503	Gm28364
ENSMUSG00000026179	Pnkd
ENSMUSG00000006301	Tmbim1
ENSMUSG00000073650	Catip
ENSMUSG00000026177	Slc11a1
ENSMUSG00000026176	Ctdsp1
ENSMUSG00000026175	Vil1
ENSMUSG00000033364	Usp37
ENSMUSG00000026174	Rqcd1
ENSMUSG00000026173	Plcd4
ENSMUSG00000026135	Zfp142
ENSMUSG00000026172	Bcs1l
ENSMUSG00000026171	Rnf25
ENSMUSG00000033276	Stk36
ENSMUSG00000033257	Ttll4
ENSMUSG00000026170	Cyp27a1
ENSMUSG00000006542	Prkag3
ENSMUSG00000033227	Wnt6
ENSMUSG00000099472	Gm29539
ENSMUSG00000026167	Wnt10a
ENSMUSG00000090071	Cdk5r2
ENSMUSG00000055197	Fev
ENSMUSG00000006546	Cryba2
ENSMUSG00000047021	Ccdc108
ENSMUSG00000089653	Gm15841
ENSMUSG00000006538	Ihh
ENSMUSG00000026162	Nhej1
ENSMUSG00000026205	Slc23a3
ENSMUSG00000033159	Cnppd1
ENSMUSG00000049339	Fam134a
ENSMUSG00000026197	Zfand2b
ENSMUSG00000026198	Abcb6
ENSMUSG00000033124	Atg9a
ENSMUSG00000026199	Ankzf1
ENSMUSG00000026200	Glb1l
ENSMUSG00000026201	Stk16
ENSMUSG00000026202	Tuba4a
ENSMUSG00000096094	A630095N17Rik
ENSMUSG00000026203	Dnajb2
ENSMUSG00000026204	Ptprn
ENSMUSG00000101840	Gm28294
ENSMUSG00000033061	Resp18
ENSMUSG00000100556	Gm28902
ENSMUSG00000026209	Dnpep
ENSMUSG00000026208	Des
ENSMUSG00000085653	Gm15179
ENSMUSG00000026207	Speg
ENSMUSG00000086053	Gm15178
ENSMUSG00000033021	Gmppa
ENSMUSG00000033007	Asic4
ENSMUSG00000032997	Chpf
ENSMUSG00000026211	Obsl1
ENSMUSG00000051703	Tmem198
ENSMUSG00000032968	Inha
ENSMUSG00000026213	Stk11ip
ENSMUSG00000006576	Slc4a3
ENSMUSG00000099996	Gm29065
ENSMUSG00000100827	Gm29069
ENSMUSG00000100553	Gm17751
ENSMUSG00000100534	Gm816
ENSMUSG00000026235	Epha4
ENSMUSG00000101849	Gm28386
ENSMUSG00000102052	Gm28387
ENSMUSG00000004872	Pax3
ENSMUSG00000032908	Sgpp2
ENSMUSG00000099561	Gm28410
ENSMUSG00000026245	Farsb
ENSMUSG00000090486	BC035947
ENSMUSG00000012187	Mogat1
ENSMUSG00000099364	5730419F03Rik
ENSMUSG00000100562	Gm29611
ENSMUSG00000032883	Acsl3
ENSMUSG00000079470	Utp14b
ENSMUSG00000099706	Gm29536
ENSMUSG00000047330	Kcne4
ENSMUSG00000101324	Gm29187
ENSMUSG00000050711	Scg2
ENSMUSG00000054702	Ap1s3
ENSMUSG00000073643	Wdfy1
ENSMUSG00000026248	Mrpl44
ENSMUSG00000026249	Serpine2
ENSMUSG00000099552	9830004L10Rik
ENSMUSG00000043230	Fam124b
ENSMUSG00000101257	2310015K22Rik
ENSMUSG00000004364	Cul3
ENSMUSG00000101722	Gm29125
ENSMUSG00000101483	1700016L21Rik
ENSMUSG00000038608	Dock10
ENSMUSG00000054976	Nyap2
ENSMUSG00000055980	Irs1
ENSMUSG00000022591	Gm9747
ENSMUSG00000026142	Rhbdd1
ENSMUSG00000100786	Gm28940
ENSMUSG00000067158	Col4a4
ENSMUSG00000079465	Col4a3
ENSMUSG00000026150	Mff
ENSMUSG00000026149	Tm4sf20
ENSMUSG00000100170	Gm28942
ENSMUSG00000026159	Agfg1
ENSMUSG00000038496	Slc19a3
ENSMUSG00000100190	Krtap28-10
ENSMUSG00000101315	Krtap28-13
ENSMUSG00000026166	Ccl20
ENSMUSG00000053161	Daw1
ENSMUSG00000026163	Sphkap
ENSMUSG00000100580	4933436I20Rik
ENSMUSG00000045658	Pid1
ENSMUSG00000036766	Dner
ENSMUSG00000026219	Trip12
ENSMUSG00000073633	Fbxo36
ENSMUSG00000026220	Slc16a14
ENSMUSG00000052477	C130026I21Rik
ENSMUSG00000089844	A530032D15Rik
ENSMUSG00000073631	Gm10553
ENSMUSG00000072109	A530040E14Rik
ENSMUSG00000090252	Gm16028
ENSMUSG00000089652	Gm16025
ENSMUSG00000089714	Gm16092
ENSMUSG00000094127	G530012D18Rik
ENSMUSG00000070034	Sp110
ENSMUSG00000090103	Gm16094
ENSMUSG00000070031	Sp140
ENSMUSG00000073628	Gm10552
ENSMUSG00000090246	Gm17017
ENSMUSG00000026222	Sp100
ENSMUSG00000052760	A630001G21Rik
ENSMUSG00000100217	9930111H07Rik
ENSMUSG00000036707	Cab39
ENSMUSG00000026223	Itm2c
ENSMUSG00000026224	4933407L21Rik
ENSMUSG00000099767	Gm28884
ENSMUSG00000049608	Gpr55
ENSMUSG00000100108	Gm28100
ENSMUSG00000026226	Spata3
ENSMUSG00000026227	2810459M11Rik
ENSMUSG00000026229	Psmd1
ENSMUSG00000026228	Htr2b
ENSMUSG00000094638	Gm21972
ENSMUSG00000062590	Armc9
ENSMUSG00000087538	Gm16341
ENSMUSG00000079445	B3gnt7
ENSMUSG00000099644	Gm28626
ENSMUSG00000026234	Ncl
ENSMUSG00000026237	Nmur1
ENSMUSG00000036574	1700019O17Rik
ENSMUSG00000026238	Ptma
ENSMUSG00000026239	Pde6d
ENSMUSG00000026240	Cops7b
ENSMUSG00000026241	Nppc
ENSMUSG00000053333	Dis3l2
ENSMUSG00000099401	Gm28375
ENSMUSG00000101625	Gm29371
ENSMUSG00000026246	Alppl2
ENSMUSG00000079440	Alpi
ENSMUSG00000036500	Akp3
ENSMUSG00000099839	Gm29374
ENSMUSG00000026247	Ecel1
ENSMUSG00000036480	Prss56
ENSMUSG00000026251	Chrnd
ENSMUSG00000026253	Chrng
ENSMUSG00000026254	Eif4e2
ENSMUSG00000026255	Efhd1
ENSMUSG00000089821	Efhd1os
ENSMUSG00000048000	Gigyf2
ENSMUSG00000079436	Kcnj13
ENSMUSG00000026258	3110079O15Rik
ENSMUSG00000026259	Ngef
ENSMUSG00000079434	Neu2
ENSMUSG00000026288	Inpp5d
ENSMUSG00000026289	Atg16l1
ENSMUSG00000056055	Sag
ENSMUSG00000070738	Dgkd
ENSMUSG00000101942	Gm19582
ENSMUSG00000005501	Usp40
ENSMUSG00000090165	Ugt1a10
ENSMUSG00000090175	Ugt1a9
ENSMUSG00000089675	Ugt1a8
ENSMUSG00000090124	Ugt1a7c
ENSMUSG00000090145	Ugt1a6b
ENSMUSG00000054545	Ugt1a6a
ENSMUSG00000089943	Ugt1a5
ENSMUSG00000090171	Ugt1a2
ENSMUSG00000081984	Dnajb3
ENSMUSG00000089960	Ugt1a1
ENSMUSG00000079429	Mroh2a
ENSMUSG00000044783	Hjurp
ENSMUSG00000036251	Trpm8
ENSMUSG00000085420	4930453O03Rik
ENSMUSG00000026295	Spp2
ENSMUSG00000099553	Gm29538
ENSMUSG00000100908	Gm28888
ENSMUSG00000062310	Glrp1
ENSMUSG00000100798	Gm19589
ENSMUSG00000100367	Gm29336
ENSMUSG00000049866	Arl4c
ENSMUSG00000097398	Platr5
ENSMUSG00000099848	Gm29337
ENSMUSG00000099378	1700067G17Rik
ENSMUSG00000036206	Sh3bp4
ENSMUSG00000101288	Gm28342
ENSMUSG00000099938	C030007H22Rik
ENSMUSG00000055013	Agap1
ENSMUSG00000034486	Gbx2
ENSMUSG00000067081	Asb18
ENSMUSG00000026301	Iqca
ENSMUSG00000100850	4930434B07Rik
ENSMUSG00000044337	Ackr3
ENSMUSG00000101951	Gm28721
ENSMUSG00000101028	Gm28723
ENSMUSG00000101997	Gm28722
ENSMUSG00000034432	Cops8
ENSMUSG00000056128	Gm9991
ENSMUSG00000048126	Col6a3
ENSMUSG00000026303	Mlph
ENSMUSG00000090550	Prlh
ENSMUSG00000026304	Rab17
ENSMUSG00000100791	Gm28199
ENSMUSG00000026305	Lrrfip1
ENSMUSG00000070732	Rbm44
ENSMUSG00000034353	Ramp1
ENSMUSG00000034343	Ube2f
ENSMUSG00000097285	Gm26683
ENSMUSG00000026307	Scly
ENSMUSG00000090322	Gm17090
ENSMUSG00000049515	Espnl
ENSMUSG00000026308	Klhl30
ENSMUSG00000047443	Fam132b
ENSMUSG00000026309	Ilkap
ENSMUSG00000100253	1700020N18Rik
ENSMUSG00000067071	Hes6
ENSMUSG00000055866	Per2
ENSMUSG00000100151	Gm28382
ENSMUSG00000034292	Traf3ip1
ENSMUSG00000026311	Asb1
ENSMUSG00000101705	Gm28380
ENSMUSG00000100980	Gm29100
ENSMUSG00000007805	Twist2
ENSMUSG00000026313	Hdac4
ENSMUSG00000096941	Gm26720
ENSMUSG00000101265	Gm29099
ENSMUSG00000026260	Ndufa10
ENSMUSG00000067064	Olfr1416
ENSMUSG00000057464	Olfr1415
ENSMUSG00000042849	Olfr1414
ENSMUSG00000097001	1700054K02Rik
