"X","FacsMarker","Individual","InferredCellType","Organ","SamplingSite","Time"
"22028_6_305","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_307","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_309","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_311","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_337","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_341","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_345","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_347","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_349","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_351","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_49","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_5","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_51","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_53","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_55","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_57","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_59","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_61","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_63","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_67","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_69","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_7","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_71","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_9","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_97","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
"22028_6_99","CD45- GFP+ CD31-","1235","cancer associated fibroblast","skin","tumor","11 day"
