"set_id","name","ID","Name","Size","Coverage","TDP.bound","TDP.estimate","SC.adjP","Comp.adjP"
"WP4720","Eicosanoid metabolism via Cytochrome P450 Mono-Oxygenases (CYP) pathway",491,"WP4720",9,0.44,0.5,0.5,4.43345799464762e-09,0.0230432320025256
"WP474","Endochondral Ossification",498,"WP474",65,0.83,0.351851851851852,0.462962962962963,4.81536487673321e-20,0.0246820506324245
"WP3875","ATR Signaling",281,"WP3875",9,0.89,0.375,0.375,4.60260415203756e-08,0.0248929712443472
"WP3959","DNA IR-Double Strand Breaks (DSBs) and cellular response via ATM",314,"WP3959",55,0.95,0.346153846153846,0.423076923076923,2.50026382158374e-16,0.0248929712443472
"WP4560","MFAP5 effect on permeability and motility of endothelial cells via cytoskeleton rearrangement",458,"WP4560",18,0.94,0.411764705882353,0.470588235294118,6.52294438984146e-17,0.0254612754912739
"WP2525","Trans-sulfuration and one carbon metabolism",128,"WP2525",32,0.88,0.357142857142857,0.464285714285714,7.32732034249336e-10,0.0321645449138761
"WP98","Prostaglandin Synthesis and Regulation",568,"WP98",45,0.82,0.378378378378378,0.459459459459459,2.17394413943821e-22,0.0332806226599994
"WP4304","Oligodendrocyte Specification and differentiation(including remyelination), leading to Myelin Components for CNS",397,"WP4304",31,0.52,0.375,0.375,7.83386153710323e-26,0.0344632354643189
"WP3599","Transcription factor regulation in adipogenesis",228,"WP3599",22,0.86,0.368421052631579,0.368421052631579,1.55030261832076e-25,0.0362388400314306
"WP1604","Codeine and Morphine Metabolism",42,"WP1604",15,0.27,0.5,0.5,6.49286728094462e-06,0.0372370714105519
"WP236","Adipogenesis",102,"WP236",131,0.79,0.346153846153846,0.413461538461538,3.75341311013175e-54,0.0373548404617312
"WP4661","Amino Acid Metabolism Pathway Excerpt (Histidine catabolism extension)",481,"WP4661",6,0.33,0.5,0.5,0.0431468886224066,0.0431468886224066
"WP3585","Cytosine methylation",222,"WP3585",9,0.89,0.375,0.5,7.49087453817701e-07,0.046146524101977
"WP3872","Regulation of Apoptosis by Parathyroid Hormone-related Protein",279,"WP3872",22,0.91,0.35,0.45,1.28737203377495e-08,0.0485074090657223
"WP4399","MicroRNA network associated with chronic lymphocytic leukemia",416,"WP4399",7,0.57,0.5,0.5,1.28737203377495e-08,0.0485074090657223
"WP53","ID signaling pathway",523,"WP53",16,0.81,0.307692307692308,0.384615384615385,1.33825325438479e-13,0.0542788662751285
"WP734","Serotonin Receptor 4/6/7 and NR3C Signaling",564,"WP734",19,0.84,0.3125,0.375,1.69191698398203e-15,0.0542788662751285
"WP2881","Estrogen Receptor Pathway",182,"WP2881",13,0.77,0.3,0.4,2.58938282317479e-38,0.0594386193019534
"WP3963","Mevalonate pathway",315,"WP3963",7,1,0.285714285714286,0.428571428571429,0.00314781622146767,0.0618737980244723
"WP2197","Endothelin Pathways",81,"WP2197",34,0.68,0.304347826086957,0.391304347826087,4.72920713559152e-27,0.0668243064530906
"WP2355","Corticotropin-releasing hormone signaling pathway",100,"WP2355",93,0.78,0.328767123287671,0.410958904109589,5.53853655041636e-45,0.0668243064530906
"WP727","Monoamine Transport",561,"WP727",32,0.53,0.294117647058824,0.529411764705882,4.62070637396041e-12,0.0730490654877152
"WP167","Eicosanoid Synthesis",43,"WP167",27,0.67,0.333333333333333,0.388888888888889,2.17394413943821e-22,0.0735098081465718
"WP3624","Lung fibrosis",235,"WP3624",63,0.67,0.30952380952381,0.428571428571429,1.55030261832076e-25,0.080115977530217
"WP4584","Biomarkers for pyrimidine metabolism disorders",468,"WP4584",15,0.8,0.333333333333333,0.5,2.56816439701713e-12,0.0832724893457054
"WP4204","Tumor suppressor activity of SMARCB1",357,"WP4204",33,0.79,0.269230769230769,0.423076923076923,7.79200875278231e-09,0.0908144088489654
"WP4719","Eicosanoid metabolism via Cyclo Oxygenases (COX)",490,"WP4719",30,0.7,0.333333333333333,0.380952380952381,2.17394413943821e-22,0.0918721376616465
"WP3611","Photodynamic therapy-induced AP-1 survival signaling.",230,"WP3611",51,0.9,0.304347826086957,0.456521739130435,1.55030261832076e-25,0.093911573076689
"WP2011","SREBF and miR33 in cholesterol and lipid homeostasis",64,"WP2011",19,0.84,0.3125,0.4375,2.9447393377517e-11,0.103949453944605
"WP3892","Development of pulmonary dendritic cells and macrophage subsets",288,"WP3892",13,0.77,0.2,0.7,7.70437079680464e-06,0.111367348220358
"WP2431","Spinal Cord Injury",114,"WP2431",120,0.75,0.322222222222222,0.4,5.53853655041636e-45,0.114048118916392
"WP272","Blood Clotting Cascade",148,"WP272",23,0.52,0.333333333333333,0.5,1.05891161032475e-42,0.114803285411883
"WP117","GPCRs, Other",5,"WP117",94,0.23,0.318181818181818,0.363636363636364,3.77273931182897e-18,0.120172770046016
"WP3596","miR-517 relationship with ARCN1 and USP1",227,"WP3596",5,1,0.2,0.4,7.70437079680464e-06,0.123137649892892
"WP3672","LncRNA-mediated mechanisms of therapeutic resistance",257,"WP3672",12,0.58,0.285714285714286,0.428571428571429,1.61117377276123e-06,0.123137649892892
"WP3995","Prion disease pathway",324,"WP3995",37,0.84,0.258064516129032,0.419354838709677,1.42295577093001e-17,0.148008766451471
"WP4147","PTF1A related regulatory pathway",342,"WP4147",11,0.45,0.2,0.4,0.000808563677475246,0.156029921726251
"WP2849","Hematopoietic Stem Cell Differentiation",163,"WP2849",63,0.68,0.325581395348837,0.395348837209302,1.4645909158934e-29,0.156167098725433
"WP3958","GPR40 Pathway",313,"WP3958",16,0.81,0.307692307692308,0.538461538461538,1.06179313771239e-06,0.156624702837221
"WP4249","Hedgehog Signaling Pathway",376,"WP4249",44,0.77,0.264705882352941,0.411764705882353,6.45939424963396e-09,0.171056939850016
"WP2846","Proprotein convertase subtilisin/kexin type 9 (PCSK9) mediated LDL receptor degradation",161,"WP2846",3,0.33,0,1,0.191601747736878,0.191601747736878
"WP3408","Evolocumab Mechanism",213,"WP3408",3,0.33,0,1,0.191601747736878,0.191601747736878
"WP2118","Arrhythmogenic Right Ventricular Cardiomyopathy",80,"WP2118",76,0.74,0.303571428571429,0.410714285714286,6.58880500842654e-23,0.19520059624092
"WP3640","Imatinib and Chronic Myeloid Leukemia",243,"WP3640",21,0.95,0.3,0.4,3.36912948711107e-08,0.202640916207215
"WP2007","Iron metabolism in placenta",63,"WP2007",12,0.67,0.25,0.375,0.000425327317103322,0.20667484530917
"WP129","Matrix Metalloproteinases",8,"WP129",30,0.73,0.272727272727273,0.409090909090909,1.66846236358396e-28,0.217106999492912
"WP4754","IL-18 signaling pathway",505,"WP4754",279,0.8,0.265765765765766,0.373873873873874,5.53853655041636e-45,0.224063872360977
"WP3301","MFAP5-mediated ovarian cancer cell motility and invasiveness",207,"WP3301",13,1,0.230769230769231,0.384615384615385,7.1834548445351e-10,0.236415904297976
"WP704","Methylation Pathways",555,"WP704",10,0.7,0.142857142857143,0.428571428571429,1.10795143781028e-12,0.241165469354808
"WP3930","EDA Signalling in Hair Follicle Development",297,"WP3930",14,0.64,0.222222222222222,0.555555555555556,6.78928901696758e-07,0.24293224118149
"WP3967","miR-509-3p alteration of YAP1/ECM axis",317,"WP3967",19,0.89,0.235294117647059,0.352941176470588,3.92971708713555e-06,0.246081089028509
"WP2858","Ectoderm Differentiation",168,"WP2858",144,0.78,0.285714285714286,0.366071428571429,6.10911950894992e-26,0.251410075884791
"WP428","Wnt Signaling",384,"WP428",118,0.79,0.301075268817204,0.365591397849462,5.00019440781505e-25,0.251410075884791
"WP1434","Osteopontin Signaling",19,"WP1434",13,1,0.230769230769231,0.461538461538462,1.51229007711679e-12,0.257536764433672
"WP176","Folate Metabolism",46,"WP176",73,0.6,0.295454545454545,0.409090909090909,1.55030261832076e-25,0.257536764433672
"WP28","Selenium Metabolism and Selenoproteins",150,"WP28",46,0.61,0.25,0.392857142857143,2.4987918295779e-23,0.257536764433672
"WP2840","Hair Follicle Development: Cytodifferentiation (Part 3 of 3)",160,"WP2840",88,0.64,0.267857142857143,0.375,1.4645909158934e-29,0.257536764433672
"WP3617","Photodynamic therapy-induced NF-kB survival signaling",234,"WP3617",35,0.86,0.233333333333333,0.4,1.55030261832076e-25,0.257536764433672
"WP2059","Alzheimers Disease",75,"WP2059",150,0.46,0.260869565217391,0.36231884057971,6.52294438984146e-17,0.264407820025205
"WP4658","Small cell lung cancer",478,"WP4658",98,0.91,0.269662921348315,0.359550561797753,1.33825325438479e-13,0.266714097046007
"WP237","Glucocorticoid and Mineralcorticoid Metabolism",107,"WP237",8,0.25,0,0.5,0.273007477872406,0.273007477872406
"WP3287","Overview of nanoparticle effects",202,"WP3287",19,0.79,0.266666666666667,0.4,1.55030261832076e-25,0.292450502904674
"WP4586","Metabolism of alpha-linolenic acid",470,"WP4586",7,0.86,0.166666666666667,0.5,0.0386740237126384,0.296626199889639
"WP3580","Methionine De Novo and Salvage Pathway",220,"WP3580",22,0.86,0.210526315789474,0.368421052631579,4.35964063989166e-11,0.301026666733762
"WP4481","Resistin as a regulator of inflammation",422,"WP4481",33,0.85,0.25,0.357142857142857,1.55030261832076e-25,0.310639518319511
"WP3595","mir-124 predicted interactions with cell cycle and differentiation ",226,"WP3595",7,0.86,0.333333333333333,0.5,1.28871879017951e-06,0.311537001183337
"WP4225","Pyrimidine metabolism and related diseases",369,"WP4225",17,0.71,0.25,0.416666666666667,1.65319775729734e-07,0.312696646387934
"WP24","Peptide GPCRs",111,"WP24",75,0.28,0.285714285714286,0.428571428571429,1.91116166189054e-21,0.317365436064072
"WP4336","ncRNAs involved in Wnt signaling in hepatocellular carcinoma",405,"WP4336",91,0.76,0.289855072463768,0.36231884057971,5.00019440781505e-25,0.320170838547363
"WP4462","Platelet-mediated interactions with vascular and circulating cells",418,"WP4462",17,0.88,0.266666666666667,0.4,1.28837373141904e-08,0.341095356415239
"WP4493","Cells and Molecules involved in local acute inflammatory response ",426,"WP4493",17,0.76,0.307692307692308,0.384615384615385,1.55030261832076e-25,0.341095356415239
"WP3670","Simplified Interaction Map Between LOXL4 and Oxidative Stress Pathway",256,"WP3670",21,0.81,0.176470588235294,0.352941176470588,2.45932835171728e-12,0.357129134137342
"WP4538","Regulatory circuits of the STAT3 signaling pathway",447,"WP4538",79,0.85,0.26865671641791,0.343283582089552,1.91116166189054e-21,0.363878327573958
"WP229","Irinotecan Pathway",90,"WP229",13,0.54,0.285714285714286,0.428571428571429,1.87627142351219e-05,0.372595026103777
"WP4172","PI3K-Akt Signaling Pathway",350,"WP4172",345,0.73,0.281746031746032,0.361111111111111,1.96319556679318e-26,0.389653492019368
"WP3584","MECP2 and Associated Rett Syndrome",221,"WP3584",71,0.72,0.274509803921569,0.352941176470588,2.08918249834541e-15,0.389709140526829
"WP530","Cytokines and Inflammatory Response",524,"WP530",27,0.52,0.214285714285714,0.357142857142857,1.55030261832076e-25,0.394616722859002
"WP3888","VEGFA-VEGFR2 Signaling Pathway",286,"WP3888",438,0.92,0.255583126550869,0.359801488833747,5.53853655041636e-45,0.415827475604265
"WP4537","Hippo-Yap signaling pathway",446,"WP4537",23,1,0.130434782608696,0.347826086956522,1.54778757247964e-06,0.425582638865984
"WP4673","Genes involved in male infertility",483,"WP4673",155,0.55,0.223529411764706,0.352941176470588,8.15687289296435e-21,0.434708802034794
"WP4258","LncRNA involvement in canonical Wnt signaling and colorectal cancer",378,"WP4258",104,0.73,0.276315789473684,0.342105263157895,5.00019440781505e-25,0.442641490692933
"WP1528","Physiological and Pathological Hypertrophy  of the Heart",26,"WP1528",25,0.96,0.291666666666667,0.375,1.45750470372243e-17,0.443468145964458
"WP1539","Angiogenesis",30,"WP1539",24,1,0.25,0.375,2.08918249834541e-15,0.443468145964458
"WP2586","Aryl Hydrocarbon Receptor Netpath",136,"WP2586",48,0.83,0.225,0.35,1.44400359316927e-08,0.452666162731714
"WP2865","IL1 and megakaryocytes in obesity",171,"WP2865",25,0.84,0.238095238095238,0.380952380952381,5.19525794232389e-10,0.452666162731714
"WP384","Apoptosis Modulation by HSP70",266,"WP384",19,0.95,0.166666666666667,0.388888888888889,6.96540853859659e-18,0.452666162731714
"WP706","Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways",556,"WP706",164,0.61,0.31,0.35,7.75341732836066e-26,0.452666162731714
"WP1742","TP53 Network",45,"WP1742",20,0.9,0.222222222222222,0.388888888888889,1.28737203377495e-08,0.467750156194828
"WP2507","Nanomaterial induced apoptosis",124,"WP2507",20,0.95,0.105263157894737,0.368421052631579,1.28737203377495e-08,0.467750156194828
"WP2267","Synaptic Vesicle Pathway",86,"WP2267",52,0.6,0.258064516129032,0.354838709677419,6.97840140254166e-30,0.492132771972666
"WP2038","Regulation of Microtubule Cytoskeleton",73,"WP2038",49,0.86,0.285714285714286,0.357142857142857,5.70447887867626e-23,0.498108980109511
"WP3594","Circadian rhythm related genes",225,"WP3594",207,0.67,0.289855072463768,0.340579710144928,1.86144948015588e-42,0.502912219194388
"WP186","Homologous recombination",51,"WP186",13,0.92,0.333333333333333,0.333333333333333,3.57124737003596e-13,0.503680038828547
"WP4299","Lamin A-processing pathway",392,"WP4299",3,1,0.333333333333333,0.333333333333333,0.0375633720082355,0.525565992204199
"WP26","Signal Transduction of S1P Receptor",139,"WP26",26,0.92,0.208333333333333,0.333333333333333,1.36035451223937e-09,0.537154575485495
"WP3932","Focal Adhesion-PI3K-Akt-mTOR-signaling pathway",299,"WP3932",309,0.79,0.246913580246914,0.337448559670782,1.96319556679318e-26,0.55485006897197
"WP3529","Zinc homeostasis",218,"WP3529",37,0.65,0.208333333333333,0.333333333333333,1.09751947262418e-13,0.559735276252208
"WP3613","Photodynamic therapy-induced unfolded protein response",232,"WP3613",29,0.83,0.25,0.333333333333333,1.63572753987345e-09,0.592395677119481
"WP455","GPCRs, Class A Rhodopsin-like",454,"WP455",258,0.22,0.241379310344828,0.327586206896552,1.91116166189054e-21,0.594474156958518
"WP314","Fas Ligand (FasL) pathway and Stress induction of Heat Shock Proteins (HSP) regulation",198,"WP314",44,0.91,0.175,0.325,1.28737203377495e-08,0.596740036001061
"WP4321","Thermogenesis",401,"WP4321",108,0.83,0.266666666666667,0.333333333333333,2.44977316588364e-24,0.602303776230422
"WP1533","Vitamin B12 Metabolism",29,"WP1533",53,0.57,0.2,0.333333333333333,1.55030261832076e-25,0.625924461178548
"WP254","Apoptosis",132,"WP254",86,0.93,0.225,0.3375,6.96540853859659e-18,0.630454225897172
"WP2817","Mammary gland development pathway - Pregnancy and lactation (Stage 3 of 4)",157,"WP2817",33,0.76,0.32,0.32,8.1728342950092e-20,0.631033926043019
"WP4286","Genotoxicity pathway",386,"WP4286",63,0.78,0.244897959183673,0.326530612244898,6.52294438984146e-17,0.633739231633592
"WP4228","Vitamin B6-dependent and responsive disorders",370,"WP4228",5,0.8,0.25,0.25,0.00334024416831868,0.635216999029685
"WP306","Focal Adhesion",195,"WP306",202,0.86,0.248554913294798,0.323699421965318,1.96319556679318e-26,0.661870634611933
"WP3941","Oxidative Damage",306,"WP3941",41,0.9,0.243243243243243,0.324324324324324,1.28737203377495e-08,0.699923750757195
"WP561","Heme Biosynthesis",533,"WP561",9,0.89,0.25,0.25,6.5794345319789e-05,0.701076830955824
"WP4541","Hippo-Merlin Signaling Dysregulation",450,"WP4541",123,0.77,0.221052631578947,0.315789473684211,5.28168194977512e-22,0.723397294815617
"WP2064","Neural Crest Differentiation",77,"WP2064",102,0.63,0.25,0.328125,1.94200095136959e-19,0.727478052387628
"WP3678","Amplification and Expansion of Oncogenic Pathways as Metastatic Traits",260,"WP3678",17,1,0.117647058823529,0.294117647058824,6.04285700943382e-06,0.727478052387628
"WP3935","Leptin Insulin Overlap",302,"WP3935",17,0.82,0.285714285714286,0.285714285714286,9.45573250233619e-09,0.741018446305419
"WP1772","Apoptosis Modulation and Signaling",47,"WP1772",93,0.85,0.189873417721519,0.316455696202532,6.96540853859659e-18,0.744856843612274
