Length	Symbol	logFC.L.PvsL	logFC.L.VvsL	logFC.L.VvsP	logCPM	F	PValue	FDR
1050	Ceacam10	-3.29607591696106	-4.12032496583882	-0.82424904887776	4.96786084588016	443.336665871013	1.66973158176578e-12	4.72746548931941e-10
398	Mpc1-ps	-1.64760262292061	-3.25766624279089	-1.61006361987028	5.18620334960588	440.807505245031	1.73081297954224e-12	4.81289637811282e-10
5261	Hephl1	-1.86360367412086	-10.0225775063718	-8.15897383225096	6.1265863509774	567.968030985867	1.84896581319488e-12	5.05124484966153e-10
3346	Retreg1	-1.43226912219636	-3.06993447359981	-1.63766535140345	7.58882803303791	432.981493931826	1.93685576454876e-12	5.20012378716436e-10
8053	Tbc1d24	-2.17521577152016	-3.58596355452533	-1.41074778300516	5.1681752081151	427.688091285752	2.09234170443446e-12	5.52236356295821e-10
447	Crip1	1.56473319135118	4.96827960526005	3.40354641390887	5.19767765088709	429.03997233101	2.30802039758016e-12	5.99008227185304e-10
7073	Ablim1	-0.47860449665316	2.49470270403035	2.97330720068351	5.30776465740728	417.490686178797	2.43447375088831e-12	6.21469266374308e-10
10982	Peak1	0.546024536817366	3.22378263000867	2.6777580931913	5.53471381244085	414.421510286236	2.54982933990714e-12	6.22663747745342e-10
2700	Slc52a2	-0.911236294211512	-3.850605038948	-2.93936874473649	5.29079839267393	413.954280400636	2.56793939189598e-12	6.22663747745342e-10
5306	Osbpl1a	-2.54606102652527	-3.16223054919453	-0.616169522669262	6.09823812608706	413.771280394196	2.57507308578609e-12	6.22663747745342e-10
2076	Acat2	-2.49459141012782	-3.09501528921172	-0.6004238790839	4.88801192362494	413.159275392842	2.59909732875977e-12	6.22663747745342e-10
1575	Fgb	-3.22358452926936	6.22110725354856	9.44469178281792	3.94608931327067	552.624485916318	2.6517709289777e-12	6.25657225849101e-10
2382	Gsdmc	-4.84193694640608	-11.354023889945	-6.51208694353892	3.16729186705633	408.673392448964	2.82206377514358e-12	6.5589816576919e-10
3109	Slc33a1	-2.6037231111827	-2.84445455901811	-0.240731447835409	4.68158725931652	405.82155395528	2.90830536571396e-12	6.66001928748496e-10
6889	Pgr	1.03291752273776	4.8711983589515	3.83828083621374	4.81617294524176	403.067108874897	3.12661562483362e-12	7.05618239274044e-10
3188	Foxa1	-0.426698445306525	2.94846672526803	3.37516517057455	4.72476686178732	398.867776482013	3.24124500719549e-12	7.06987885043767e-10
1164	Cidea	-4.79776246782077	-8.2962357871046	-3.49847331928382	7.92463122417471	562.169831221447	3.2692209587823e-12	7.06987885043767e-10
5951	Elovl6	-3.18005335616707	-2.95250652229976	0.227546833867312	5.71230659440471	397.630937470961	3.30498030988956e-12	7.06987885043767e-10
3460	Fads1	-2.05902292005981	-3.99216064701336	-1.93313772695355	9.35104650736798	397.086289073173	3.33350553597032e-12	7.06987885043767e-10
4558	Sardh	-2.17931067335818	-2.98965311980687	-0.81034244644869	5.1101859712831	396.59104680809	3.35969069440269e-12	7.06987885043767e-10
3494	Bhlha15	-2.86248600092793	-5.06678574980396	-2.20429974887603	4.09481448149018	393.946077062256	3.50363475339143e-12	7.18824517695774e-10
804	Ssr4	-1.40240772109841	-2.63761230784656	-1.23520458674816	7.3076826651499	393.863138915345	3.50826248040578e-12	7.18824517695774e-10
2628	Rbp1	5.38919357408024	3.89217260920819	-1.49702096487206	6.82843611284144	397.848987085014	3.69598344484185e-12	7.41856302845615e-10
1477	Arg1	-2.20756750177299	2.72210469855907	4.92967220033207	4.46263715199539	390.265976530431	3.71595117017454e-12	7.41856302845615e-10
9938	Fasn	-2.45109411319837	-5.24234936646832	-2.79125525326995	11.0612435317784	387.295439373053	3.89823611196856e-12	7.68372408945818e-10
8216	Rbms3	-0.00898594462731758	4.25007363978715	4.25905958441447	6.33114758777874	388.334002085313	3.94745650627186e-12	7.68372408945818e-10
4427	Acly	-2.45359798253894	-4.24423841669571	-1.79064043415677	9.88063232815414	383.655176154844	4.13590364895442e-12	7.95114711376768e-10
3482	Oxct1	-2.45175838548731	-3.27510120457616	-0.823342819088853	7.34282771528484	382.465414494971	4.21718669993254e-12	8.00854040138409e-10
4272	Pcx	-1.95919885484864	-4.6752119431569	-2.71601308830826	8.45482059827356	373.825629596103	4.86619485003018e-12	8.9912578418444e-10
3352	Cmtm6	-1.72871127345756	-3.14595268739968	-1.41724141394211	8.41299146268764	373.715543776392	4.87518037041102e-12	8.9912578418444e-10
2103	Esm1	2.47260228495571	6.19633533282404	3.72373304786833	3.4193305638614	373.31675417325	4.90789183506791e-12	8.9912578418444e-10
1550	Gm5424	-1.71747720187053	-3.57530712842188	-1.85782992655135	4.78739039691072	372.175651673357	5.0029050137946e-12	9.05874847381506e-10
19459	Itsn1	-1.5678304128176	-2.88624685895416	-1.31841644613655	6.40117536797775	369.745459256122	5.21243591232996e-12	9.32768595229032e-10
3738	Net1	-2.0844830910732	-2.72109212873762	-0.636609037664422	5.98489540442359	369.066236541966	5.27280197944408e-12	9.32768595229032e-10
4245	Doc2b	-0.63941217867602	-3.65837942876711	-3.01896725009109	5.03793948461366	368.393023921056	5.3334334634773e-12	9.32768595229032e-10
1736	Nucb2	-1.55793935175089	-3.40717388678909	-1.8492345350382	6.61750721363818	367.761622046064	5.39103349413132e-12	9.32768595229032e-10
907	Mpc1	-1.69387273839918	-3.36439850368303	-1.67052576528384	5.89931232325336	366.041645985085	5.55162620436554e-12	9.49999156641541e-10
5807	Cdk19	1.19002320595238	3.67234293515075	2.48231972919837	5.43076620512979	364.529192615735	5.697430336539e-12	9.6435201304984e-10
1615	Sectm1a	-2.32634082907584	-3.54565520730612	-1.21931437823028	5.64313469444172	363.357404798638	5.81344411548524e-12	9.73408083508991e-10
4402	Eps8	-1.94215291985355	2.04488237199033	3.98703529184388	5.71568336095898	355.266282931958	6.69346009190959e-12	1.09885068321451e-09
2258	Krt6a	-0.341027319919289	7.17788261499823	7.51890993491752	4.99286143107721	471.481891291602	6.70375127828014e-12	1.09885068321451e-09
1032	Gnmt	-2.5481345620329	-4.8574820512899	-2.309347489257	3.15135115791265	354.449925920414	6.79052122097716e-12	1.10147912971934e-09
975	Prdx4	-1.88158466315216	-2.66606854063353	-0.784483877481367	6.74672530594006	350.735038112358	7.25329011370404e-12	1.16441477990309e-09
4111	Evc2	1.27861791733618	3.91079724079503	2.63217932345886	4.77933545879767	349.525542910008	7.41176018097098e-12	1.1777135667151e-09
1497	Gjb1	-6.03645756798044	-6.6227176448373	-0.586260076856868	2.63941369764444	451.206569388891	7.89209203723984e-12	1.24137027478686e-09
2022	Ggt1	-3.01678541462747	-1.92909373111402	1.08769168351346	6.3829636099468	340.542843237993	8.72261083165122e-12	1.34957846318734e-09
3440	Emp2	1.40601782306331	3.49556562129993	2.08954779823663	6.89762904969624	340.249776976416	8.76969890934262e-12	1.34957846318734e-09
8104	Adamts5	-3.87873053191309	-7.01085152865183	-3.13212099673874	5.02646053237955	431.140685936794	8.84003360166381e-12	1.34957846318734e-09
768	Orm1	-4.42974297831897	-8.84642650274767	-4.4166835244287	3.01644781366617	337.620208894579	9.46768891567673e-12	1.41889320426594e-09
1991	Acat3	-2.57945416261299	-3.0758542892814	-0.496400126668417	4.10883472330896	336.058940851941	9.47629676622514e-12	1.41889320426594e-09
2267	Tmprss4	-1.39412713539303	-4.18594371092018	-2.79181657552715	5.31028610009529	333.934113429529	9.859604464507e-12	1.46222629258384e-09
4631	Dab2	-1.56338869238808	-5.98613180314565	-4.42274311075757	8.22528446387666	365.17492000935	1.07976186908373e-11	1.58153723058405e-09
2251	Dgat2	0.194166979144933	3.1448258838761	2.95065890473116	4.79935819407996	328.775573776156	1.08672285944319e-11	1.58153723058405e-09
1421	Bhlhe41	1.43773413419997	3.86698564952029	2.42925151532032	6.76653937384666	329.094493173033	1.11065291163219e-11	1.6003222739043e-09
3470	Tbc1d13	-1.660966570287	-3.47980716355616	-1.81884059326916	5.6283244745555	327.183876485978	1.12018448404552e-11	1.6003222739043e-09
5487	Bdnf	0.873517180772126	5.96074309285882	5.08722591208669	5.66280007728757	326.283542647905	1.15441208198387e-11	1.63422772187752e-09
7020	Rnf145	-1.25500450586849	-2.35394019622434	-1.09893569035586	6.88254022957463	324.207117655177	1.18601660559568e-11	1.66384239480504e-09
3738	Stimate	-1.82028838339841	-2.52972898482997	-0.709440601431561	5.13834450930468	321.521471002785	1.24927756898293e-11	1.72531913675577e-09
2927	Lpo	-3.46777340549824	-8.77545957121221	-5.30768616571396	4.87129077293778	425.489695666126	1.25811630410278e-11	1.72531913675577e-09
2491	Abcg2	-1.49065396873452	-5.19481314314419	-3.70415917440968	7.2829865036781	355.793360172633	1.26412808550783e-11	1.72531913675577e-09
3231	Slc7a4	-2.6829599968344	-2.49283216821671	0.190127828617689	4.47106724961931	320.50806915221	1.27415682460129e-11	1.72531913675577e-09
3148	Apln	-1.2384599128033	-7.39457935014054	-6.15611943733724	5.67487076140213	407.375342151637	1.37989269698258e-11	1.85238698943214e-09
4367	Casc4	-0.135450990907561	2.26481971006813	2.40027070097569	5.49418321628237	315.672226211867	1.40106464208758e-11	1.85600874455365e-09
696	Plac8	-1.30843548771883	4.39079204082725	5.69922752854608	3.04448543622439	315.479119015709	1.40642840905041e-11	1.85600874455365e-09
3449	Car5b	-2.11709766560683	-4.52972180264317	-2.41262413703635	5.08541860545554	325.287009649907	1.43257511651584e-11	1.8594921681779e-09
1247	Enho	-0.0182515788267464	6.22292062409532	6.24117220292207	3.59334240010648	314.536626939435	1.43295055343789e-11	1.8594921681779e-09
920	Csn1s2a	-1.871701824006	-8.82035736312344	-6.94865553911744	15.5160530224486	312.378864796202	1.49587976687933e-11	1.92511072147478e-09
5482	Hr	1.43340309451248	2.81802072298973	1.38461762847724	6.79664630335289	311.844996418596	1.51193930081018e-11	1.92982940919805e-09
1336	Drd4	-3.27810930205875	-8.70105036521485	-5.42294106315611	3.49367777051626	329.635840584062	1.55557699253483e-11	1.96771253581118e-09
2786	Gpd1	-1.53249142547216	-3.87951687408215	-2.34702544860999	7.46169380520966	310.066658405018	1.5668915646069e-11	1.96771253581118e-09
5654	Cd44	2.38687455803238	5.98978565802144	3.60291109998906	7.50088549462877	368.063202013266	1.65883999750628e-11	2.06651651529342e-09
9190	Ptprg	2.35107519122167	3.18815604559906	0.837080854377384	7.09042697564735	306.218024667858	1.69392458351702e-11	2.09347568369262e-09
4853	Mfsd4a	-2.55777341657064	-2.62068555290722	-0.0629121363365732	4.35896480353423	305.261829407489	1.72730902635432e-11	2.11792568176294e-09
1952	BC006965	3.71671271446499	2.2855099480828	-1.43120276638219	4.68207322947405	300.671247955517	1.898574922354e-11	2.30973505397629e-09
2151	Mfsd2a	-2.13085355200796	-2.38135060963869	-0.25049705763073	6.75383912616241	299.6865425915	1.93782600024114e-11	2.31712843223661e-09
7749	Bcl2	1.83795912552801	4.68041537634441	2.84245625081639	4.22144143615829	299.616808546149	1.94064106595435e-11	2.31712843223661e-09
1904	Elovl1	-1.50858772748014	-2.82325786564575	-1.31467013816561	7.24789114839827	299.128124327036	1.96050185891062e-11	2.31712843223661e-09
5770	Dtx4	4.719453586087	4.96730706252496	0.24785347643796	3.87694737586034	299.03843185461	1.96417257292083e-11	2.31712843223661e-09
4685	Usp38	-1.64135963911614	-3.54918733933068	-1.90782770021454	7.70031937927535	293.865925003473	2.18996667616841e-11	2.5517332832516e-09
4910	Stim2	-1.77887219256255	-2.43418953391978	-0.655317341357227	5.37828546637442	293.579675626131	2.20331456245864e-11	2.5517332832516e-09
3248	Baiap2l1	-1.54888381625356	-2.99950368488489	-1.45061986863133	5.73597977709925	293.390206262751	2.21220134368717e-11	2.5517332832516e-09
562	Wap	-3.71463219267769	-10.3114441613188	-6.59681196864116	14.060458794751	315.794208723541	2.25836291925208e-11	2.58582554254363e-09
1958	Mdh1	-1.64430572331126	-2.40534789710691	-0.761042173795646	7.91569427328733	291.42284851681	2.30697103922283e-11	2.61445435525799e-09
367	Fam25c	-0.808381335269376	5.33595744461659	6.14433877988596	1.89433612686372	291.221245540661	2.31694516456205e-11	2.61445435525799e-09
1871	Orai1	-1.51467379346239	-3.17333872214799	-1.6586649286856	5.81755550009502	290.602050688409	2.34789265144672e-11	2.63031542218189e-09
5008	Fgfr1	0.885648388239149	2.48005535041479	1.59440696217564	8.33583108237121	289.86552370791	2.3853292007396e-11	2.65316759385122e-09
1647	Rora	-1.47757690220653	-2.8407182534898	-1.36314135128327	4.84643342623015	289.401366024824	2.40927635731864e-11	2.66079797419616e-09
4029	Atp6v0a1	-1.36913636771999	-2.36312616874127	-0.99398980102128	5.74416977119873	288.587669984436	2.45193165980433e-11	2.68883660608965e-09
2904	Snn	-1.55817440345519	-3.29840051828245	-1.74022611482727	4.24124804783467	287.69550729901	2.49970805398589e-11	2.72205970745932e-09
7857	Slc7a2	-2.58817321377581	1.68660943337796	4.27478264715377	6.64929720136998	308.198989407143	2.61355097783513e-11	2.8262649879756e-09
2582	Nrarp	1.71886123387342	4.26947484774353	2.55061361387011	3.50167335260382	285.085934952704	2.64575864345462e-11	2.82673598771212e-09
6277	Ppl	3.61421416732739	2.83660617715345	-0.777607990173947	6.96808158245995	285.007621432923	2.65029189703295e-11	2.82673598771212e-09
3888	Ttyh1	-4.54332628861058	-5.66046670055467	-1.11714041194409	2.13393548541922	283.877211600013	2.71673825414668e-11	2.87789442813415e-09
3613	Camk2n1	-0.951758776935191	2.74984144246567	3.70160021940086	4.47423627135002	283.288871557767	2.75208295967397e-11	2.89424941329636e-09
1927	Rab30	-1.09750342977432	-3.37124793475885	-2.27374450498453	4.29056960321451	283.00462039988	2.76934987529641e-11	2.89424941329636e-09
2267	Cntfr	-0.266883482533105	6.99627549496837	7.26315897750148	3.92953174760782	280.888867211615	2.90188514005008e-11	3.01254369339066e-09
2618	Arfgap3	-1.23684193420093	-2.83123621843356	-1.59439428423262	5.73128815443018	280.042509717374	2.95694753232735e-11	3.01633170684064e-09
648	Ifitm3	-0.349426431179077	3.1110772082941	3.46050363947318	8.23236966494922	279.809805072246	2.97229807812270e-11	3.01633170684064e-09
1508	Fads2	-1.87065876940692	-2.9905481341375	-1.11988936473058	7.79607038544937	279.711605940461	2.97880351056363e-11	3.01633170684064e-09
1585	Fah	-1.92123226227236	-3.39510132695853	-1.47386906468617	5.95511335336367	279.64816721426	2.98301491686012e-11	3.01633170684064e-09
2953	Aif1l	1.70500560382566	5.59532912079224	3.89032351696658	3.20122587246716	278.191202033466	3.08165852681629e-11	3.09597332771505e-09
5095	Gcnt4	3.03619647094464	9.31059580329393	6.27439933234929	2.85309411181777	274.206586672958	3.37130784723264e-11	3.36525678186581e-09
3122	Itih2	0.17214174216587	8.03666860099432	7.86452685882845	3.49944037701879	321.75477171827	3.43675341630159e-11	3.38473916708183e-09
1658	Spp1	-2.31328035440355	-5.17948032921826	-2.86619997481471	12.9611035272007	273.078697924424	3.45893471552562e-11	3.38473916708183e-09
4440	Tbc1d8	-1.60089247915294	-3.07286898222532	-1.47197650307238	6.41537360428377	272.945749112443	3.46943623829405e-11	3.38473916708183e-09
931	Rph3al	-2.6909364704264	-2.91129170635271	-0.220355235926313	3.20793781875858	272.84058126	3.47776950124000e-11	3.38473916708183e-09
5597	Myrf	-2.35306843359194	-4.56182515880097	-2.20875672520902	2.44891909090608	272.137356199227	3.53409040573457e-11	3.41818980112414e-09
2251	Asah1	-2.45397868026458	-2.27993744144339	0.174041238821197	6.34395539676139	270.830090712243	3.64161711893117e-11	3.4977317825008e-09
5952	Mlec	-1.81390966888207	-2.23415964566567	-0.420249976783604	7.93508155280393	270.596192458233	3.66125276488332e-11	3.4977317825008e-09
7365	Pank3	-1.61827260346646	-2.17005733239008	-0.551784728923621	7.27639830513151	270.260807637336	3.68962231070284e-11	3.50334137940638e-09
3577	Me1	-2.10769441623165	-3.15149214886162	-1.04379773262997	7.14213184314652	269.652477991063	3.74173133964193e-11	3.52428058044042e-09
3361	Qsox1	-2.33426748725118	-3.65172979721871	-1.31746230996753	8.09422256120986	270.000964987123	3.75693922651625e-11	3.52428058044042e-09
4427	Gk	-0.570912122270144	-2.94588676395788	-2.37497464168773	6.8189533731728	267.933652865567	3.89362895930708e-11	3.63063414097784e-09
2722	Kctd11	3.10070750440981	4.0684525751408	0.967745070730987	6.45359138845708	266.431293010866	4.08110184810097e-11	3.78279273682311e-09
2584	Tc2n	-3.29751568568738	-4.03263508387136	-0.735119398183973	4.72580483761198	284.684538803907	4.24357335533638e-11	3.91011386327207e-09
8369	Prkca	0.945131405427606	3.23557757727042	2.29044617184281	5.46603453665607	263.475765429254	4.32201358975068e-11	3.94050184034181e-09
657	Gm16440	-6.82242791235599	-9.25417669279611	-2.43174878044013	0.954153090160152	263.201805617451	4.35007112753718e-11	3.94050184034181e-09
1392	Rogdi	0.0862805140866062	-2.66496692153066	-2.75124743561726	5.85609359543779	262.744062902834	4.39742233948901e-11	3.94050184034181e-09
7443	Atp11a	0.399191733201282	2.37176559601858	1.9725738628173	6.9543510064569	262.738711369277	4.39797944520767e-11	3.94050184034181e-09
3009	Rgs2	-1.02356084402724	1.48242567142563	2.50598651545287	6.75951739613987	262.689770410066	4.4030780902869e-11	3.94050184034181e-09
3870	Slc16a12	0.127983643650829	-5.26240557960695	-5.39038922325778	4.66367621371664	282.085979280847	4.48667419016511e-11	3.99237088510007e-09
1022	Slc50a1	-1.93444643789206	-2.42185721317541	-0.487410775283346	5.97298478624014	261.334706156498	4.54700177408343e-11	4.01532162669848e-09
1285	Il15	-3.17532621339502	-4.65242036518824	-1.47709415179322	3.66131197171616	261.177602100619	4.56403755410757e-11	4.01532162669848e-09
6104	Lmo7	0.488389190852234	3.48225702664529	2.99386783579306	5.47917933153668	264.615498562518	4.65462381075336e-11	4.07201134725008e-09
3411	Chpt1	-1.01124643514828	-3.02674319918825	-2.01549676403997	6.42646030603911	259.941661115892	4.70066484616529e-11	4.08931580918916e-09
8201	Prkaa2	-2.59598646981568	-3.65646649868857	-1.06048002887289	6.01901512883334	284.978461338484	4.80131751923538e-11	4.15367313386296e-09
1578	Pdlim3	3.59271195223503	5.2405196352966	1.64780768306157	8.14029497319449	262.577157258298	4.88266813752859e-11	4.20071316229808e-09
1774	Tspan7	-2.26690338774355	-2.91360057791784	-0.646697190174299	5.52709713910605	257.968822099524	4.92868143318151e-11	4.21700149876387e-09
4755	Tns4	1.12528861910231	4.93338089064577	3.80809227154346	6.69564423589207	300.18429004885	5.031979900219e-11	4.28185743203335e-09
1657	Rhov	1.31956853688958	3.02473901240833	1.70517047551875	5.45044205100371	256.729221590917	5.07849667954079e-11	4.28270695175649e-09
3437	Deptor	-2.86270271939678	-3.16049379985471	-0.297791080457935	4.35524468381195	256.652154482911	5.08798347081268e-11	4.28270695175649e-09
2802	Rftn1	-1.13515215841254	2.65808944066233	3.79324159907488	4.14306956467263	256.023397207613	5.16615285977302e-11	4.32512539421428e-09
2237	Krt6b	0.545503725750847	7.33115945504897	6.78565572929813	4.8284370114748	331.329634413152	5.29123003539938e-11	4.40615155675075e-09
2775	Nck2	0.0726650130885062	2.27627932243703	2.20361430934852	6.09189258210271	253.232141526105	5.53038476352753e-11	4.58080593285376e-09
3242	Odr4	-1.54493441115798	-2.11401015839031	-0.569075747232331	5.36960423450961	252.428636042891	5.64068332812477e-11	4.64129067328419e-09
2472	Ctsc	-3.40083936198411	-2.53243666794027	0.868402694043838	5.94808710421102	270.088979248957	5.66359944541274e-11	4.64129067328419e-09
11990	Fut9	1.15568174520024	6.40600291582906	5.25032117062882	2.59680759310331	252.055105463462	5.69282377727511e-11	4.64129067328419e-09
1927	Asns	-0.989413890194431	-2.43480870463479	-1.44539481444035	5.97653222367523	251.435933563391	5.78048617235227e-11	4.68821513936821e-09
2326	Fmo1	0.48428557997624	5.09017993127819	4.60589435130195	2.70013405180119	250.217728103856	5.95755998231074e-11	4.80679399194523e-09
